parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0070438955,1,Inf,not_evaluated,,1/1
g0,4.431631e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,605.3339,1,Inf,not_evaluated,,1/1
V0_set,0.86410713,1,Inf,not_evaluated,,1/1
V0_res,0.49845671,1,Inf,not_evaluated,,1/1
gamma0_set,14.276964,1,Inf,not_evaluated,,1/1
gamma0_res,5.0717443,0,Inf,not_evaluated,,1/1
Ea_set,0.58075776,1,Inf,not_evaluated,,1/1
Ea_res,0.69864461,1,Inf,not_evaluated,,1/1
F_min_set,9.019929e+08,1,Inf,not_evaluated,,1/1
F_min_res,1.1300664e+09,1,Inf,not_evaluated,,1/1
Vel0_set,0.31045274,1,Inf,not_evaluated,,1/1
Vel0_res,0.1041699,1,Inf,not_evaluated,,1/1
gap_max_set,6.0611011e-09,1,Inf,not_evaluated,,1/1
gap_max_res,4.579847e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,5.2361991e-10,1,Inf,not_evaluated,,1/1
gap_ini_res,4.1632951e-10,1,Inf,not_evaluated,,1/1
