folder,device_id,cycle_count,cycle_delta_from_20,total_blocks,set_blocks,reset_blocks,first_record_time,last_record_time,first_file,last_file,measurement_ids,total_devices_in_folder,total_cycles_in_folder
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-01-4um-10,20,0,60,20,40,2024-08-30 16:59:29,2024-08-30 17:01:33,"[B6-01-4um-10,SET-RESET,33,8_30_2024 4_59_29 PM].csv","[B6-01-4um-10,SET-RESET,33,8_30_2024 5_01_33 PM].csv",33,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-01-4um-11,20,0,60,20,40,2024-08-30 17:02:17,2024-08-30 17:04:17,"[B6-01-4um-11,SET-RESET,34,8_30_2024 5_02_17 PM].csv","[B6-01-4um-11,SET-RESET,34,8_30_2024 5_04_17 PM].csv",34,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-01-4um-12,40,20,120,40,80,2024-08-30 17:06:35,2024-08-30 17:11:38,"[B6-01-4um-12,SET-RESET,35,8_30_2024 5_06_35 PM].csv","[B6-01-4um-12,SET-RESET,36,8_30_2024 5_11_38 PM].csv",35;36,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-01,20,0,60,20,40,2024-08-30 15:07:29,2024-08-30 15:09:33,"[B6-03-4um-01,SET-RESET,13,8_30_2024 3_07_29 PM].csv","[B6-03-4um-01,SET-RESET,13,8_30_2024 3_09_33 PM].csv",13,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-02,20,0,60,20,40,2024-08-30 15:12:53,2024-08-30 15:14:57,"[B6-03-4um-02,SET-RESET,14,8_30_2024 3_12_53 PM].csv","[B6-03-4um-02,SET-RESET,14,8_30_2024 3_14_57 PM].csv",14,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-03,20,0,60,20,40,2024-08-30 15:27:57,2024-08-30 15:30:00,"[B6-03-4um-03,SET-RESET,15,8_30_2024 3_27_57 PM].csv","[B6-03-4um-03,SET-RESET,15,8_30_2024 3_30_00 PM].csv",15,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-04,20,0,60,20,40,2024-08-30 15:52:01,2024-08-30 15:54:04,"[B6-03-4um-04,SET-RESET,16,8_30_2024 3_52_01 PM].csv","[B6-03-4um-04,SET-RESET,16,8_30_2024 3_54_04 PM].csv",16,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-05,20,0,60,20,40,2024-08-30 15:56:30,2024-08-30 15:58:37,"[B6-03-4um-05,SET-RESET,17,8_30_2024 3_56_30 PM].csv","[B6-03-4um-05,SET-RESET,17,8_30_2024 3_58_37 PM].csv",17,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-06,20,0,60,20,40,2024-08-30 15:59:52,2024-08-30 16:01:56,"[B6-03-4um-06,SET-RESET,18,8_30_2024 3_59_52 PM].csv","[B6-03-4um-06,SET-RESET,18,8_30_2024 4_01_56 PM].csv",18,57,1099
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S1,B6-03-4um-07,20,0,60,20,40,2024-08-30 16:02:59,2024-08-30 16:04:59,"[B6-03-4um-07,SET-RESET,19,8_30_2024 4_02_59 PM].csv","[B6-03-4um-07,SET-RESET,19,8_30_2024 4_04_59 PM].csv",19,57,1099
