parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0078427619,1,3.13238,not_evaluated,,1/1
g0,3.6390882e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,1810.6903,1,0.5,not_evaluated,,1/1
V0_set,0.74152581,1,2.15467,not_evaluated,,1/1
V0_res,1.9190661,1,2.15467,not_evaluated,,1/1
gamma0_set,10.443671,1,0.4,not_evaluated,,1/1
gamma0_res,18.270679,0,0.4,not_evaluated,,1/1
Ea_set,0.71198966,1,1.00457,not_evaluated,,1/1
Ea_res,0.35417826,1,0.99863,not_evaluated,,1/1
F_min_set,7.7734191e+08,1,0.3,not_evaluated,,1/1
F_min_res,6.5394966e+08,1,0.3,not_evaluated,,1/1
Vel0_set,12.024385,1,0.5,not_evaluated,,1/1
Vel0_res,0.13087288,1,0.5,not_evaluated,,1/1
gap_max_set,1.8690434e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.6645437e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.7602311e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.8044208e-10,1,0.5,not_evaluated,,1/1
