parameter,value,loss
I0,1e-08,1369.8601
I0,0.0016500083,40.830006
I0,0.0033000067,33.998975
I0,0.004950005,29.803199
I0,0.0066000033,29.53398
I0,0.0074873827,29.591548
I0,0.0099,30.086191
g0,1.5e-10,45.392111
g0,1.7723301e-10,33.287168
g0,2.1339804e-10,29.591548
g0,2.3169902e-10,30.141225
g0,2.5893203e-10,32.338848
g0,2.8616504e-10,35.366017
g0,3.1339804e-10,38.727573
Rs,37.012998,29.591548
Rs,196.55973,28.12899
Rs,383.11946,28.68073
Rs,569.67919,30.633617
Rs,756.23892,46.031441
Rs,942.79865,45.423748
Rs,1129.3584,44.845795
V0_set,0.05,37.351754
V0_set,0.375,30.77865
V0_set,0.7,30.061699
V0_set,1.025,29.77495
V0_set,1.4358809,29.591548
V0_set,1.675,29.525465
V0_set,2,29.46396
V0_res,0.05,54.21025
V0_res,0.375,40.929349
V0_res,0.7,33.295221
V0_res,1.025,30.309433
V0_res,1.4615966,29.591548
V0_res,1.675,29.672957
V0_res,2,30.008294
gamma0_set,4,64.705684
gamma0_set,7.3333333,114.54286
gamma0_set,10.666667,34.596062
gamma0_set,14,30.806966
gamma0_set,17.333333,29.254027
gamma0_set,20.666667,29.179592
gamma0_set,23.774958,29.591548
Ea_set,0.1,29.745548
Ea_set,0.24833333,29.666591
Ea_set,0.39666667,29.615138
Ea_set,0.53999542,29.591548
Ea_set,0.69333333,29.594742
Ea_set,0.84166667,29.625799
Ea_set,0.99,29.291686
Ea_res,0.1,29.694863
Ea_res,0.30897416,29.591548
Ea_res,0.39666667,29.564453
Ea_res,0.545,29.540504
Ea_res,0.69333333,29.544057
Ea_res,0.84166667,28.960666
Ea_res,0.99,28.547849
F_min_set,1.7234503e+09,31.422781
F_min_set,1.9345419e+09,31.525454
F_min_set,2.1456335e+09,30.386112
F_min_set,2.3567251e+09,30.589827
F_min_set,2.5634503e+09,29.591548
F_min_set,2.7789084e+09,29.902076
F_min_set,2.99e+09,29.870096
F_min_res,1.2699764e+09,35.128592
F_min_res,1.5499764e+09,33.004501
F_min_res,1.8299764e+09,31.087067
F_min_res,2.1099764e+09,29.591548
F_min_res,2.3899764e+09,29.229535
F_min_res,2.6699764e+09,29.272138
F_min_res,2.9499764e+09,29.645813
Vel0_set,0.74263811,29.591548
Vel0_set,1.873773,29.512895
Vel0_set,3.647546,29.410168
Vel0_set,5.4213191,29.33261
Vel0_set,7.1950921,29.280223
Vel0_set,8.9688651,29.253006
Vel0_set,10.742638,29.250959
Vel0_res,8.6925293,29.296146
Vel0_res,10.560441,29.290564
Vel0_res,12.428353,29.312895
Vel0_res,14.296265,29.363139
Vel0_res,16.164176,29.441296
Vel0_res,18.692529,29.591548
Vel0_res,19.9,29.681348
gap_max_set,1.2371119e-09,31.31642
gap_max_set,1.4371119e-09,29.647449
gap_max_set,1.6371119e-09,29.575054
gap_max_set,1.8371119e-09,29.591548
gap_max_set,2.0371119e-09,29.696931
gap_max_set,2.2371119e-09,29.891203
gap_max_set,2.4371119e-09,30.174364
gap_max_res,1e-09,29.920051
gap_max_res,1.0685418e-09,29.591548
gap_max_res,1.2228473e-09,31.191473
gap_max_res,1.3342709e-09,34.364668
gap_max_res,1.4456945e-09,39.231729
gap_max_res,1.5571181e-09,45.793239
gap_max_res,1.6685418e-09,54.049425
gap_ini_set,7.8019048e-10,33.746131
gap_ini_set,9.8019048e-10,32.282222
gap_ini_set,1.1801905e-09,31.313877
gap_ini_set,1.3801905e-09,29.591548
gap_ini_set,1.5801905e-09,29.607866
gap_ini_set,1.7801905e-09,29.823032
gap_ini_set,1.9801905e-09,30.268427
gap_ini_res,5e-11,29.756386
gap_ini_res,8.1625016e-11,29.669892
gap_ini_res,1.1325003e-10,29.621292
gap_ini_res,1.397501e-10,29.591548
gap_ini_res,1.7650006e-10,29.644004
gap_ini_res,2.0812508e-10,29.777754
gap_ini_res,2.397501e-10,29.997811
