parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0062923426,1,894381,non_identifiable,,1/1
g0,3.7988508e-10,1,1.21468e+13,non_identifiable,,1/1
beta,1.25,0,3642.45,non_identifiable,,1/1
Rth,2100,0,4.66233e-05,identifiable,,1/1
gap_min,1e-10,0,2.12142e+14,non_identifiable,,1/1
tox,7e-09,0,1.17456e+11,non_identifiable,,1/1
Rs,1081.6527,1,0.0274323,identifiable,,1/1
V0_set,0.69846987,1,4.06175,non_identifiable,,1/1
V0_res,1.6455978,1,1.04411,weakly_identifiable,,1/1
gamma0_set,18.018495,1,39.7126,non_identifiable,,1/1
gamma0_res,13.403793,0,Inf,non_identifiable,,1/1
Ea_set,0.14613184,1,34172.6,non_identifiable,,1/1
Ea_res,0.32853501,1,Inf,non_identifiable,,1/1
F_min_set,9.6676468e+08,1,1.61808e-06,identifiable,,1/1
F_min_res,5.7509571e+08,1,5.64629e-05,identifiable,,1/1
Vel0_set,0.16438007,1,5055.59,non_identifiable,,1/1
Vel0_res,3.6643241,1,Inf,non_identifiable,,1/1
gap_max_set,2.1825546e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.851812e-09,1,2.44925e+12,non_identifiable,,1/1
gap_ini_set,1.9845999e-09,1,2.28344e+12,non_identifiable,,1/1
gap_ini_res,1.543889e-10,1,8.92412e+13,non_identifiable,,1/1
