parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0054499492,1,Inf,not_evaluated,,1/1
g0,4.9022983e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,62.794212,1,Inf,not_evaluated,,1/1
V0_set,1.1779004,1,Inf,not_evaluated,,1/1
V0_res,1.7140626,1,Inf,not_evaluated,,1/1
gamma0_set,14.107533,1,Inf,not_evaluated,,1/1
gamma0_res,4,0,Inf,not_evaluated,,1/1
Ea_set,0.36608509,1,Inf,not_evaluated,,1/1
Ea_res,0.982756,1,Inf,not_evaluated,,1/1
F_min_set,2.3325068e+09,1,Inf,not_evaluated,,1/1
F_min_res,2.3599329e+09,1,Inf,not_evaluated,,1/1
Vel0_set,8.3040549,1,Inf,not_evaluated,,1/1
Vel0_res,0.48985558,1,Inf,not_evaluated,,1/1
gap_max_set,1.6877563e-09,1,Inf,not_evaluated,,1/1
gap_max_res,1.4694889e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.6983016e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,3.7922013e-10,1,Inf,not_evaluated,,1/1
