parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0016605856,1,Inf,not_evaluated,,1/1
g0,4.8825969e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,13.515793,1,Inf,not_evaluated,,1/1
V0_set,1.9305039,1,Inf,not_evaluated,,1/1
V0_res,0.73300424,1,Inf,not_evaluated,,1/1
gamma0_set,19.765911,1,Inf,not_evaluated,,1/1
gamma0_res,16.979882,0,Inf,not_evaluated,,1/1
Ea_set,0.78030195,1,Inf,not_evaluated,,1/1
Ea_res,0.84074771,1,Inf,not_evaluated,,1/1
F_min_set,1.446727e+09,1,Inf,not_evaluated,,1/1
F_min_res,1.0047026e+09,1,Inf,not_evaluated,,1/1
Vel0_set,10.423107,1,Inf,not_evaluated,,1/1
Vel0_res,19.595272,1,Inf,not_evaluated,,1/1
gap_max_set,3.866501e-09,1,Inf,not_evaluated,,1/1
gap_max_res,5.1476035e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.1391803e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,2.2960237e-10,1,Inf,not_evaluated,,1/1
