parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0048415467,1,0.25,not_evaluated,,0/0
g0,3.388274e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,304.70991,1,0.5,not_evaluated,,0/0
V0_set,0.99970399,1,0.1,not_evaluated,,0/0
V0_res,1.1446465,1,0.1,not_evaluated,,0/0
gamma0_set,15.364502,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.91401689,1,0.666667,not_evaluated,,0/0
Ea_res,0.90028258,1,0.666667,not_evaluated,,0/0
F_min_set,9.3313236e+08,1,0.3,not_evaluated,,0/0
F_min_res,1.145103e+09,1,0.3,not_evaluated,,0/0
Vel0_set,9.4597463,1,0.5,not_evaluated,,0/0
Vel0_res,0.1813866,1,0.5,not_evaluated,,0/0
gap_max_set,1.5424969e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.4902969e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,7.4280219e-10,1,0.214286,not_evaluated,,0/0
gap_ini_res,8.4769432e-11,1,0.5,not_evaluated,,0/0
