File Name,Corresponding Data Point,Maximum Subtraction,MEAN,STDV,COV
"[A8-02-4um-01,Forming,13,8_7_2024 1_55_09 PM].csv",5.42,0.000499956,5.438518519,1.325330717,0.243693335
"[A8-02-4um-02,Forming,14,8_7_2024 2_02_03 PM].csv",5.66,0.000499987,,,
"[A8-02-4um-03,Forming,15,8_7_2024 2_05_47 PM].csv",6.3,0.00049998,,,
"[A8-02-4um-04,Forming,16,8_7_2024 2_11_21 PM].csv",5.46,0.000499712,,,
"[A8-02-4um-05,Forming,17,8_7_2024 2_14_31 PM].csv",5.94,0.000499912,,,
"[A8-02-4um-06,Forming,18,8_7_2024 2_17_34 PM].csv",5.46,0.000499654,,,
"[A8-02-4um-07,Forming,19,8_7_2024 2_20_45 PM].csv",5.92,0.000499837,,,
"[A8-02-4um-08,Forming,20,8_7_2024 2_23_47 PM].csv",5.7,0.000499278,,,
"[A8-02-4um-09,Forming,21,8_7_2024 2_27_03 PM].csv",5.5,0.00050001,,,
"[A8-02-4um-10,Forming,22,8_7_2024 2_30_24 PM].csv",5.86,0.000499986,,,
"[A8-02-4um-11,Forming,23,8_7_2024 2_33_16 PM].csv",5.8,0.000499894,,,
"[A8-02-4um-12,Forming,24,8_7_2024 2_36_33 PM].csv",5.82,0.000499912,,,
"[C3-02-4um-01,Forming,25,8_7_2024 2_40_18 PM].csv",7.22,0.000499575,,,
"[C3-02-4um-02,Forming,26,8_7_2024 2_41_28 PM].csv",6.92,0.000499869,,,
"[C3-02-4um-03,Forming,27,8_7_2024 2_44_19 PM].csv",6.34,0.000499703,,,
"[C3-02-4um-04,Forming,28,8_7_2024 2_47_33 PM].csv",5.74,0.000499982,,,
"[C3-02-4um-05,Forming,29,8_7_2024 2_50_50 PM].csv",5.62,0.000499815,,,
"[C3-02-4um-06,Forming,30,8_7_2024 2_57_08 PM].csv",5.8,0.000499849,,,
"[C3-02-4um-07,Forming,31,8_7_2024 3_01_09 PM].csv",5.36,0.000500033,,,
"[C3-02-4um-08,Forming,32,8_7_2024 3_04_34 PM].csv",5.74,0.00049973,,,
"[C3-02-4um-09,Forming,33,8_7_2024 3_07_47 PM].csv",6.22,0.00049953,,,
"[C3-02-4um-10,Forming,34,8_7_2024 3_09_09 PM].csv",6.56,0.000499816,,,
"[C3-02-4um-11,Forming,35,8_7_2024 3_11_45 PM].csv",6.16,0.000499794,,,
"[C3-02-4um-12,Forming,36,8_7_2024 3_16_39 PM].csv",5.92,0.000496884,,,
"[C3-04-4um-01,Forming,37,8_7_2024 3_20_25 PM].csv",6.88,0.000499316,,,
"[C3-04-4um-03,Forming,39,8_7_2024 3_28_22 PM].csv",1.9,7.55E-05,,,
"[C3-04-4um-04,Forming,40,8_7_2024 3_31_40 PM].csv",4.82,0.000499856,,,
"[C3-04-4um-05,Forming,38,8_7_2024 3_26_04 PM].csv",5.32,0.000500022,,,
"[C3-04-4um-05,Forming,41,8_7_2024 3_35_18 PM].csv",5.78,0.000499822,,,
"[C3-04-4um-06,Forming,42,8_7_2024 3_44_53 PM].csv",5.46,0.000499951,,,
"[C3-04-4um-07,Forming,43,8_7_2024 3_49_25 PM].csv",5.94,0.000499733,,,
"[C3-04-4um-08,Forming,44,8_7_2024 3_52_31 PM].csv",5.4,0.000499838,,,
"[C3-04-4um-09,Forming,45,8_7_2024 3_56_24 PM].csv",5.86,0.000499681,,,
"[C3-04-4um-10,Forming,46,8_7_2024 4_06_18 PM].csv",5.7,0.00049987,,,
"[C3-04-4um-11,Forming,47,8_7_2024 4_09_01 PM].csv",0.74,0.000110202,,,
"[C3-04-4um-12,Forming,48,8_7_2024 4_12_14 PM].csv",1,0.000424898,,,
"[C3-04-4um-12,Forming,49,8_7_2024 4_15_08 PM].csv",3.14,0.000494564,,,
"[D1-03-4um-01,Forming,50,8_7_2024 4_55_02 PM].csv",5.48,0.000499733,,,
"[D1-03-4um-02,Forming,51,8_7_2024 4_57_57 PM].csv",5.56,0.000499563,,,
"[D1-03-4um-03,Forming,52,8_7_2024 5_01_23 PM].csv",5.66,0.000499594,,,
"[D1-03-4um-04,Forming,53,8_7_2024 5_04_20 PM].csv",5.64,0.00049991,,,
"[D1-03-4um-05,Forming,54,8_7_2024 5_07_15 PM].csv",5.74,0.000499744,,,
"[S12-01-4um-01,Forming,1,8_7_2024 1_13_21 PM].csv",5.6,0.000499717,,,
"[S12-01-4um-02,Forming,2,8_7_2024 1_17_37 PM].csv",5.82,0.000499699,,,
"[S12-01-4um-03,Forming,3,8_7_2024 1_20_30 PM].csv",5.7,0.000499703,,,
"[S12-01-4um-04,Forming,4,8_7_2024 1_23_35 PM].csv",5.74,0.000499865,,,
"[S12-01-4um-05,Forming,5,8_7_2024 1_26_40 PM].csv",3.18,0.000500021,,,
"[S12-01-4um-06,Forming,6,8_7_2024 1_29_56 PM].csv",5.9,0.000499421,,,
"[S12-01-4um-07,Forming,7,8_7_2024 1_33_44 PM].csv",2.1,0.00014288,,,
"[S12-01-4um-08,Forming,8,8_7_2024 1_37_06 PM].csv",6,0.000499948,,,
"[S12-01-4um-09,Forming,9,8_7_2024 1_40_24 PM].csv",6.22,0.00049983,,,
"[S12-01-4um-10,Forming,10,8_7_2024 1_43_47 PM].csv",5.82,0.000499853,,,
"[S12-01-4um-11,Forming,11,8_7_2024 1_47_04 PM].csv",6.02,0.000499896,,,
"[S12-01-4um-12,Forming,12,8_7_2024 1_50_28 PM].csv",7.12,0.00049986,,,
