parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0015105344,1,0.25,not_evaluated,,0/0
g0,3.5565706e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,12.63692,1,0.5,not_evaluated,,0/0
V0_set,0.70496642,1,0.1,not_evaluated,,0/0
V0_res,0.78196195,1,0.1,not_evaluated,,0/0
gamma0_set,19.33593,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.62501163,1,0.666667,not_evaluated,,0/0
Ea_res,0.78497815,1,0.666667,not_evaluated,,0/0
F_min_set,1.211304e+09,1,0.3,not_evaluated,,0/0
F_min_res,1.2863574e+09,1,0.3,not_evaluated,,0/0
Vel0_set,1.0281499,1,0.5,not_evaluated,,0/0
Vel0_res,3.171972,1,0.5,not_evaluated,,0/0
gap_max_set,1.9215697e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.0950205e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.344671e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,1.2118886e-10,1,0.5,not_evaluated,,0/0
