parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0065618441,1,1.00774e+06,non_identifiable,,1/1
g0,2.3623858e-10,1,2.23521e+13,non_identifiable,,1/1
beta,1.25,0,0.0426682,identifiable,,1/1
Rth,2100,0,0.000136165,identifiable,,1/1
gap_min,1e-10,0,1.5075e+14,non_identifiable,,1/1
tox,7e-09,0,1.56888e+10,non_identifiable,,1/1
Rs,167.50036,1,0.971016,weakly_identifiable,,1/1
V0_set,1.4946003,1,1.47575,weakly_identifiable,,1/1
V0_res,1.8404803,1,0.792851,weakly_identifiable,,1/1
gamma0_set,6.8283264,1,Inf,non_identifiable,,1/1
gamma0_res,9.1418452,0,Inf,non_identifiable,,1/1
Ea_set,0.15957716,1,Inf,non_identifiable,,1/1
Ea_res,0.56766416,1,230.391,non_identifiable,,1/1
F_min_set,7.3919773e+08,1,Inf,non_identifiable,,1/1
F_min_res,1.1976215e+09,1,3.03569e-08,identifiable,,1/1
Vel0_set,0.50026694,1,Inf,non_identifiable,,1/1
Vel0_res,0.79640809,1,7.51523,non_identifiable,,1/1
gap_max_set,1.8811881e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.1300272e-09,1,4.50171e+12,non_identifiable,,1/1
gap_ini_set,1.1578724e-09,1,4.39375e+12,non_identifiable,,1/1
gap_ini_res,1.0013882e-10,1,1.50245e+14,non_identifiable,,1/1
