parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0039770568,1,Inf,not_evaluated,,1/1
g0,3.4417285e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,30.017037,1,Inf,not_evaluated,,1/1
V0_set,0.36576453,1,Inf,not_evaluated,,1/1
V0_res,0.85710885,1,Inf,not_evaluated,,1/1
gamma0_set,22.110271,1,Inf,not_evaluated,,1/1
gamma0_res,7.7539541,0,Inf,not_evaluated,,1/1
Ea_set,0.89888778,1,Inf,not_evaluated,,1/1
Ea_res,0.86900038,1,Inf,not_evaluated,,1/1
F_min_set,1.3691336e+09,1,Inf,not_evaluated,,1/1
F_min_res,1.487409e+09,1,Inf,not_evaluated,,1/1
Vel0_set,1.5740499,1,Inf,not_evaluated,,1/1
Vel0_res,0.54971101,1,Inf,not_evaluated,,1/1
gap_max_set,4.8634519e-09,1,Inf,not_evaluated,,1/1
gap_max_res,5.5102037e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.8312933e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,4.1798294e-10,1,Inf,not_evaluated,,1/1
