parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0012088283,1,0.25,not_evaluated,,0/0
g0,3.9777024e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,34.642004,1,0.5,not_evaluated,,0/0
V0_set,0.66635775,1,0.1,not_evaluated,,0/0
V0_res,0.63647169,1,0.1,not_evaluated,,0/0
gamma0_set,19.462158,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.57163774,1,0.666667,not_evaluated,,0/0
Ea_res,0.75970811,1,0.666667,not_evaluated,,0/0
F_min_set,1.0690486e+09,1,0.3,not_evaluated,,0/0
F_min_res,9.6816955e+08,1,0.3,not_evaluated,,0/0
Vel0_set,0.17381182,1,0.5,not_evaluated,,0/0
Vel0_res,17.750276,1,0.5,not_evaluated,,0/0
gap_max_set,1.3189939e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.0531812e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.4636475e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,1.5585757e-10,1,0.5,not_evaluated,,0/0
