parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.001916301,1,0.25,not_evaluated,,1/1
g0,4.0899349e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,132.77587,1,0.5,not_evaluated,,1/1
V0_set,1.1248795,1,0.1,not_evaluated,,1/1
V0_res,1.0202742,1,0.1,not_evaluated,,1/1
gamma0_set,12.904286,1,0.4,not_evaluated,,1/1
gamma0_res,4,0,0.4,not_evaluated,,1/1
Ea_set,0.34195889,1,1.07873,not_evaluated,,1/1
Ea_res,0.23601642,1,1.17661,not_evaluated,,1/1
F_min_set,9.7615802e+08,1,0.3,not_evaluated,,1/1
F_min_res,1.8296851e+09,1,0.3,not_evaluated,,1/1
Vel0_set,14.655015,1,0.5,not_evaluated,,1/1
Vel0_res,11.964206,1,0.5,not_evaluated,,1/1
gap_max_set,1.7376693e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.0550643e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.3218532e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.0364524e-10,1,0.5,not_evaluated,,1/1
