parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0048143269,1,2.31848,not_evaluated,,0/0
g0,2.4228293e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,133.72833,1,0.5,not_evaluated,,0/0
V0_set,1.5710904,1,1.59419,not_evaluated,,0/0
V0_res,1.7354842,1,1.59419,not_evaluated,,0/0
gamma0_set,9.5352925,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.19547159,1,0.666667,not_evaluated,,0/0
Ea_res,0.67712612,1,0.666667,not_evaluated,,0/0
F_min_set,9.8469418e+08,1,0.3,not_evaluated,,0/0
F_min_res,1.01828e+09,1,0.3,not_evaluated,,0/0
Vel0_set,0.21531118,1,0.5,not_evaluated,,0/0
Vel0_res,8.1248603,1,0.5,not_evaluated,,0/0
gap_max_set,1.8828473e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.1488741e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.3038496e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,1.1844654e-10,1,0.5,not_evaluated,,0/0
