 V1-form,i1-form,V1-set,i1-set
2.94,2.61E-08,3.675,0.00050004
2.96,4.73E-08,3.7,0.00050004
2.98,4.92E-08,3.725,0.00050002
3,6.39E-08,3.75,0.00050002
3.02,5.75E-08,3.775,0.00050002
3.04,7.30E-08,3.8,0.00050002
3.06,1.40E-07,3.825,0.00050004
3.08,1.64E-07,3.85,0.0005
3.1,7.19E-08,3.875,0.00050002
3.12,7.57E-08,3.9,0.00050004
3.14,1.56E-07,3.925,0.0005
3.16,1.15E-07,3.95,0.00050002
3.18,1.85E-07,3.975,0.00050002
3.2,2.20E-07,4,0.0005
3.22,3.69E-07,4.025,0.00050004
3.24,2.20E-07,4.05,0.00050002
3.26,3.69E-07,4.075,0.00050004
3.28,2.20E-07,4.1,0.0005
3.3,3.69E-07,4.125,0.00050004
3.32,2.20E-07,4.15,0.00050004
3.34,3.69E-07,4.175,0.0005
3.36,2.20E-07,4.2,0.00050002
3.38,3.69E-07,4.225,0.00050002
3.4,2.20E-07,4.25,0.00050004
3.42,3.69E-07,4.275,0.00050004
3.44,2.20E-07,4.3,0.00050004
3.46,3.69E-07,4.325,0.00050002
3.48,2.20E-07,4.35,0.00050004
3.5,3.69E-07,4.375,0.00050002
3.52,2.20E-07,4.4,0.00050002
3.54,3.69E-07,4.425,0.0005
3.56,2.20E-07,4.45,0.00050002
3.58,3.69E-07,4.475,0.00050002
3.6,2.20E-07,4.5,0.00050004
3.62,3.69E-07,4.525,0.00050002
3.64,2.20E-07,4.55,0.00050002
3.66,3.69E-07,4.575,0.00050004
3.68,2.07E-07,4.6,0.00050002
3.7,3.54E-07,4.625,0.00050004
3.72,3.00E-07,4.65,0.00050002
3.74,3.22E-07,4.675,0.00050002
3.76,3.07E-07,4.7,0.00050004
3.78,3.46E-07,4.725,0.00050004
3.8,2.92E-07,4.75,0.00050002
3.82,3.26E-07,4.775,0.0005
3.84,3.19E-07,4.8,0.00050004
3.86,2.95E-07,4.825,0.00050004
3.88,2.80E-07,4.85,0.00050004
3.9,2.66E-07,4.875,0.00050002
3.92,3.14E-07,4.9,0.0005
3.94,3.41E-07,4.925,0.0005
3.96,2.42E-07,4.95,0.00050004
3.98,3.92E-07,4.975,0.00050004
4,2.96E-07,5,0.00050002
4.02,3.38E-07,5,0.00050004
4.04,3.60E-07,4.975,0.00050004
4.06,4.57E-07,4.95,0.00050002
4.08,4.13E-07,4.925,0.00050004
4.1,3.37E-07,4.9,0.00050004
4.12,3.48E-07,4.875,0.0005
4.14,5.62E-07,4.85,0.00050004
4.16,7.35E-07,4.825,0.00050002
4.18,3.24E-07,4.8,0.00050004
4.2,3.52E-07,4.775,0.0005
4.22,4.24E-07,4.75,0.00050002
4.24,2.99E-07,4.725,0.00050004
4.26,3.91E-07,4.7,0.00050004
4.28,4.98E-07,4.675,0.00050002
4.3,5.95E-07,4.65,0.00050002
4.32,8.51E-07,4.625,0.00050004
4.34,4.83E-07,4.6,0.00050002
4.36,4.40E-07,4.575,0.00050002
