DataValue,0.1,3.23E-06,,HRS,LRS
DataValue,0.1,4.39E-07,,3.23E-06,8.35E-05
DataValue,0.1,4.96E-07,,4.39E-07,8.38E-05
DataValue,0.1,4.96E-07,,4.96E-07,8.38E-05
DataValue,0.1,5.13E-07,,4.96E-07,8.39E-05
DataValue,0.1,6.35E-07,,5.13E-07,8.39E-05
DataValue,0.1,7.67E-07,,6.35E-07,8.39E-05
DataValue,0.1,8.16E-07,,7.67E-07,8.39E-05
DataValue,0.1,9.13E-07,,8.16E-07,8.42E-05
DataValue,0.1,1.03E-06,,9.13E-07,8.44E-05
DataValue,0.1,1.07E-06,,1.03E-06,8.49E-05
DataValue,0.1,1.19E-06,,1.07E-06,8.50E-05
DataValue,0.1,1.27E-06,,1.19E-06,8.52E-05
DataValue,0.1,1.29E-06,,1.27E-06,8.57E-05
DataValue,0.1,1.33E-06,,1.29E-06,8.59E-05
DataValue,0.1,1.40E-06,,1.33E-06,8.63E-05
DataValue,0.1,1.52E-06,,1.40E-06,8.65E-05
DataValue,0.1,1.62E-06,,1.52E-06,8.70E-05
DataValue,0.1,2.32E-06,,1.62E-06,9.22E-05
DataValue,0.1,2.50E-06,,2.32E-06,9.56E-05
DataValue,0.1,8.35E-05,,2.50E-06,0.00011672
DataValue,0.1,8.38E-05,,,
DataValue,0.1,8.38E-05,,,
DataValue,0.1,8.39E-05,,,
DataValue,0.1,8.39E-05,,,
DataValue,0.1,8.39E-05,,,
DataValue,0.1,8.39E-05,,,
DataValue,0.1,8.42E-05,,,
DataValue,0.1,8.44E-05,,,
DataValue,0.1,8.49E-05,,,
DataValue,0.1,8.50E-05,,,
DataValue,0.1,8.52E-05,,,
DataValue,0.1,8.57E-05,,,
DataValue,0.1,8.59E-05,,,
DataValue,0.1,8.63E-05,,,
DataValue,0.1,8.65E-05,,,
DataValue,0.1,8.70E-05,,,
DataValue,0.1,9.22E-05,,,
DataValue,0.1,9.56E-05,,,
DataValue,0.1,0.00011672,,,
