File Name,Corresponding Data Point,Maximum Subtraction
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_23 PM].csv",2.05,0.00031121999999999996
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_29 PM].csv",1.225,0.00042349999999999994
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_35 PM].csv",0.925,0.000453022
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_41 PM].csv",1.1,0.000452606
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_47 PM].csv",1.3,0.000428558
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_18_54 PM].csv",1.1,0.00044528199999999997
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_00 PM].csv",1.1,0.00045260799999999996
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_06 PM].csv",1.225,0.000440594
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_12 PM].csv",1.125,0.000445852
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_18 PM].csv",1.025,0.00046359799999999996
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_24 PM].csv",1.275,0.00043089399999999997
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_30 PM].csv",1.05,0.00046028
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_37 PM].csv",0.8,0.000482516
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_43 PM].csv",1.05,0.000466714
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_49 PM].csv",1.075,0.000464058
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_19_55 PM].csv",1.25,0.00044073399999999997
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_20_01 PM].csv",1.375,0.00042061999999999997
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_20_07 PM].csv",0.85,0.000471122
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_20_13 PM].csv",1.3,0.000431268
"[A3-02-4um-01,SET-RESET,1,8_6_2024 12_20_20 PM].csv",1.05,0.00046672399999999996
"[A3-02-4um-02,SET-RESET,2,8_6_2024 12_28_06 PM].csv",1.05,0.00015013399999999998
"[A3-02-4um-02,SET-RESET,2,8_6_2024 12_28_12 PM].csv",1.725,4.4760000000000025e-05
"[A3-02-4um-02,SET-RESET,2,8_6_2024 12_28_19 PM].csv",1.325,6.472000000000004e-05
"[A3-02-4um-02,SET-RESET,2,8_6_2024 12_28_25 PM].csv",1.35,4.270000000000001e-05
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_08 PM].csv",2.7,0.00049988002
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_14 PM].csv",1.05,0.0004970418
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_20 PM].csv",1.125,0.0004982445
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_27 PM].csv",1.075,0.0004958103
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_33 PM].csv",0.925,0.0004966155
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_39 PM].csv",0.9,0.0004930297
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_45 PM].csv",1.075,0.00049933128
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_52 PM].csv",0.725,0.0004934717999999999
"[A3-02-4um-03,SET-RESET,3,8_6_2024 12_31_58 PM].csv",0.875,0.0004966235
