File Name,Corresponding Data Point,Maximum Subtraction
"[A8-02-4um-01,Forming,1,9_3_2024 10_53_22 AM].csv",6.16,0.000499777
"[A8-02-4um-02,Forming,2,9_3_2024 10_57_12 AM].csv",2.22,0.000493795
"[A8-02-4um-03,Forming,3,9_3_2024 11_01_28 AM].csv",5.94,0.00049978
"[A8-02-4um-04,Forming,4,9_3_2024 11_23_17 AM].csv",3.44,0.000499973
"[A8-02-4um-05,Forming,5,9_3_2024 11_31_33 AM].csv",6.12,0.000499796
"[A8-02-4um-06,Forming,6,9_3_2024 11_34_59 AM].csv",1.6,0.00015552
"[A8-02-4um-07,Forming,7,9_3_2024 11_38_23 AM].csv",6.32,0.00049953
"[A8-02-4um-08,Forming,8,9_3_2024 11_41_23 AM].csv",3.3,0.000499755
"[A8-02-4um-09,Forming,9,9_3_2024 11_44_12 AM].csv",3.98,0.000499547
"[A8-02-4um-10,Forming,10,9_3_2024 11_46_59 AM].csv",4.62,0.000499689
"[A8-02-4um-11,Forming,11,9_3_2024 11_49_04 AM].csv",2.2,0.000499943
"[B6-01-4um-01,Forming,12,9_3_2024 11_51_01 AM].csv",8.84,0.000499661
"[B6-01-4um-02,Forming,13,9_3_2024 11_51_44 AM].csv",7.38,0.000499722
"[B6-01-4um-03,Forming,14,9_3_2024 11_54_36 AM].csv",2.18,0.000499162
"[B6-01-4um-04,Forming,15,9_3_2024 11_57_36 AM].csv",3.92,0.000499698
"[B6-01-4um-05,Forming,16,9_3_2024 12_01_59 PM].csv",9.36,0.000499741
"[C3-03-4um-07,Forming,22,9_3_2024 12_27_42 PM].csv",8.32,0.00049958
"[C3-03-4um-08,Forming,23,9_3_2024 12_31_27 PM].csv",4.8,0.000499691
"[C3-03-4um-09,Forming,24,9_3_2024 12_35_15 PM].csv",3.76,0.000499979
"[C3-03-4um-10,Forming,25,9_3_2024 12_38_36 PM].csv",4.96,0.000499611
"[C3-03-4um-11,Forming,26,9_3_2024 12_42_21 PM].csv",8.3,0.000499715
"[C3-03-4um-12,Forming,27,9_3_2024 12_47_26 PM].csv",5.24,0.000499416
"[D1-02-4um-01,Forming,17,9_3_2024 12_07_08 PM].csv",8.48,0.000499936
"[D1-02-4um-02,Forming,18,9_3_2024 12_10_57 PM].csv",4.4,0.000499889
"[D1-02-4um-03,Forming,19,9_3_2024 12_13_32 PM].csv",4.24,0.000499707
"[D1-02-4um-04,Forming,20,9_3_2024 12_17_09 PM].csv",3.98,0.000499534
"[D1-02-4um-05,Forming,21,9_3_2024 12_20_06 PM].csv",5.06,0.000499596
"[B3-01-4um-01,Forming,73,8_30_2024 7_47_46 PM].csv",1.6,
"[B3-01-4um-02,Forming,74,8_30_2024 7_50_20 PM].csv",0.62,
"[B3-01-4um-03,Forming,75,8_30_2024 7_53_55 PM].csv",6.82,
"[B3-01-4um-04,Forming,76,8_30_2024 8_00_11 PM].csv",6.24,
"[B3-01-4um-05,Forming,77,8_30_2024 8_03_22 PM].csv",6,
"[B3-01-4um-06,Forming,78,8_30_2024 8_06_41 PM].csv",5.68,
"[B3-03-4um-02,Forming,62,8_30_2024 7_04_07 PM].csv",5.46,
"[B3-03-4um-03,Forming,63,8_30_2024 7_07_16 PM].csv",5.82,
"[B3-03-4um-04,Forming,64,8_30_2024 7_12_32 PM].csv",1.24,
"[B3-03-4um-05,Forming,65,8_30_2024 7_19_18 PM].csv",0.98,
"[B3-03-4um-06,Forming,66,8_30_2024 7_22_10 PM].csv",5.54,
"[B3-03-4um-07,Forming,67,8_30_2024 7_26_03 PM].csv",5.58,
"[B3-03-4um-08,Forming,68,8_30_2024 7_29_27 PM].csv",5.72,
"[B3-03-4um-09,Forming,69,8_30_2024 7_32_37 PM].csv",6.2,
"[B3-03-4um-10,Forming,70,8_30_2024 7_35_54 PM].csv",7.3,
"[B3-03-4um-11,Forming,71,8_30_2024 7_40_14 PM].csv",6.74,
"[B3-03-4um-12,Forming,61,8_30_2024 7_01_03 PM].csv",6.84,
"[B3-03-4um-12,Forming,72,8_30_2024 7_44_26 PM].csv",6.6,
"[D1-01-4um-01,Forming,79,8_30_2024 8_11_13 PM].csv",2.54,
"[D1-01-4um-02,Forming,80,8_30_2024 8_14_51 PM].csv",1.6,
"[D1-01-4um-03,Forming,81,8_30_2024 8_17_53 PM].csv",3.02,
"[D1-01-4um-04,Forming,82,8_30_2024 8_21_23 PM].csv",3.86,
"[D1-01-4um-05,Forming,83,8_30_2024 8_29_28 PM].csv",1.42,
"[D1-01-4um-06,Forming,84,8_30_2024 8_32_58 PM].csv",1.92,
"[D1-01-4um-07,Forming,85,8_30_2024 8_37_02 PM].csv",1.9,
"[D1-01-4um-08,Forming,86,8_30_2024 8_39_49 PM].csv",2.32,
"[D1-01-4um-09,Forming,87,8_30_2024 8_43_26 PM].csv",0.56,
"[D1-01-4um-10,Forming,88,8_30_2024 8_46_33 PM].csv",0.68,
"[D1-01-4um-11,Forming,89,8_30_2024 8_49_31 PM].csv",1.06,
"[D1-01-4um-12,Forming,90,8_30_2024 8_52_16 PM].csv",0.9,
