parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0064712978,1,2.84091,not_evaluated,,0/0
g0,2.9566987e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,420.36303,1,0.5,not_evaluated,,0/0
V0_set,1.357268,1,1.95398,not_evaluated,,0/0
V0_res,1.3023895,1,1.95398,not_evaluated,,0/0
gamma0_set,17.942286,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.84585976,1,0.666667,not_evaluated,,0/0
Ea_res,0.24920273,1,0.666667,not_evaluated,,0/0
F_min_set,1.0816098e+09,1,0.3,not_evaluated,,0/0
F_min_res,1.0464968e+09,1,0.3,not_evaluated,,0/0
Vel0_set,9.432291,1,0.5,not_evaluated,,0/0
Vel0_res,1.2025258,1,0.5,not_evaluated,,0/0
gap_max_set,1.8691957e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.151439e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.3457258e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,9.9694107e-11,1,0.5,not_evaluated,,0/0
