File Name,Corresponding Data Point,Maximum Subtraction,,,
"[A8-04-4um-01,Forming,1,8_30_2024 2_08_25 PM].csv",6.12,0.000499689,6.016666667,1.480829347,0.246121221
"[A8-04-4um-02,Forming,2,8_30_2024 2_12_50 PM].csv",6.22,0.000499967,,,
"[A8-04-4um-03,Forming,3,8_30_2024 2_20_44 PM].csv",5.9,0.000499943,,,
"[A8-04-4um-04,Forming,4,8_30_2024 2_28_09 PM].csv",6.32,0.00049998,,,
"[A8-04-4um-05,Forming,5,8_30_2024 2_29_16 PM].csv",6.26,0.00049991,,,
"[A8-04-4um-06,Forming,6,8_30_2024 2_32_15 PM].csv",6.24,0.000500047,,,
"[A8-04-4um-07,Forming,7,8_30_2024 2_35_35 PM].csv",6,0.000499989,,,
"[A8-04-4um-08,Forming,8,8_30_2024 2_39_00 PM].csv",6.4,0.000499901,,,
"[A8-04-4um-09,Forming,9,8_30_2024 2_42_48 PM].csv",6.36,0.000499977,,,
"[A8-04-4um-10,Forming,10,8_30_2024 2_46_23 PM].csv",6.48,0.000499886,,,
"[A8-04-4um-11,Forming,11,8_30_2024 2_49_43 PM].csv",6,0.000499948,,,
"[A8-04-4um-12,Forming,12,8_30_2024 2_54_37 PM].csv",6.98,0.000499773,,,
"[B6-01-4um-01,Forming,24,8_30_2024 4_31_01 PM].csv",6.08,0.000499953,,,
"[B6-01-4um-02,Forming,25,8_30_2024 4_34_16 PM].csv",6.22,0.000499981,,,
"[B6-01-4um-03,Forming,26,8_30_2024 4_35_22 PM].csv",6.04,0.000499978,,,
"[B6-01-4um-04,Forming,27,8_30_2024 4_38_36 PM].csv",6.28,0.000499952,,,
"[B6-01-4um-05,Forming,28,8_30_2024 4_42_18 PM].csv",6.16,0.000500003,,,
"[B6-01-4um-06,Forming,29,8_30_2024 4_45_08 PM].csv",6.32,0.000499796,,,
"[B6-01-4um-07,Forming,30,8_30_2024 4_48_11 PM].csv",6.46,0.000499965,,,
"[B6-01-4um-08,Forming,31,8_30_2024 4_49_05 PM].csv",6.22,0.000499984,,,
"[B6-01-4um-09,Forming,32,8_30_2024 4_52_20 PM].csv",6.34,0.000499966,,,
"[B6-01-4um-10,Forming,33,8_30_2024 4_59_20 PM].csv",5.94,0.000499941,,,
"[B6-01-4um-11,Forming,34,8_30_2024 5_02_07 PM].csv",0.88,0.000168492,,,
"[B6-01-4um-12,Forming,35,8_30_2024 5_06_26 PM].csv",6.08,0.000499974,,,
"[B6-01-4um-12,Forming,36,8_30_2024 5_09_24 PM].csv",0.04,8.70E-05,,,
"[B6-03-4um-01,Forming,13,8_30_2024 3_07_20 PM].csv",6.24,0.000499986,,,
"[B6-03-4um-02,Forming,14,8_30_2024 3_12_44 PM].csv",6.38,0.000499941,,,
"[B6-03-4um-03,Forming,15,8_30_2024 3_27_48 PM].csv",6.12,0.000500001,,,
"[B6-03-4um-04,Forming,16,8_30_2024 3_51_51 PM].csv",6.78,0.000499731,,,
"[B6-03-4um-05,Forming,17,8_30_2024 3_56_22 PM].csv",7.04,0.000499766,,,
"[B6-03-4um-06,Forming,18,8_30_2024 3_59_41 PM].csv",7.02,0.000499693,,,
"[B6-03-4um-07,Forming,19,8_30_2024 4_02_49 PM].csv",6.42,0.00049981,,,
"[B6-03-4um-08,Forming,20,8_30_2024 4_08_21 PM].csv",7.02,0.000499941,,,
"[B6-03-4um-09,Forming,21,8_30_2024 4_18_49 PM].csv",8.06,0.000499873,,,
"[B6-03-4um-10,Forming,22,8_30_2024 4_22_02 PM].csv",7.6,0.000499934,,,
"[B6-03-4um-12,Forming,23,8_30_2024 4_23_37 PM].csv",9.24,0.000499763,,,
"[D1-01-4um-01,Forming,37,8_30_2024 5_14_43 PM].csv",8.52,0.000499696,,,
"[D1-01-4um-02,Forming,38,8_30_2024 5_18_29 PM].csv",5.86,0.000500001,,,
"[D1-01-4um-03,Forming,39,8_30_2024 5_26_14 PM].csv",6,0.000499969,,,
"[D1-01-4um-04,Forming,40,8_30_2024 5_29_33 PM].csv",6.02,0.00049993,,,
"[D1-01-4um-05,Forming,41,8_30_2024 5_32_29 PM].csv",4.72,0.000499955,,,
"[D1-01-4um-06,Forming,42,8_30_2024 5_38_55 PM].csv",5.68,0.000499767,,,
"[D1-01-4um-07,Forming,43,8_30_2024 5_41_51 PM].csv",4.86,0.000499988,,,
"[D1-01-4um-08,Forming,44,8_30_2024 5_45_52 PM].csv",4.6,0.000500009,,,
"[D1-01-4um-09,Forming,45,8_30_2024 5_49_17 PM].csv",6.2,0.000499972,,,
"[D1-01-4um-10,Forming,46,8_30_2024 5_53_47 PM].csv",6.34,0.000499606,,,
"[D1-01-4um-11,Forming,47,8_30_2024 5_56_49 PM].csv",5.92,0.000500017,,,
"[D1-01-4um-12,Forming,48,8_30_2024 6_00_15 PM].csv",6.38,0.000499904,,,
"[D4-01-4um-01,Forming,49,8_30_2024 6_06_09 PM].csv",5.92,0.000499897,,,
"[D4-01-4um-02,Forming,50,8_30_2024 6_10_46 PM].csv",6.12,0.000499952,,,
"[D4-01-4um-03,Forming,51,8_30_2024 6_15_13 PM].csv",6.36,0.000499726,,,
"[D4-01-4um-04,Forming,52,8_30_2024 6_20_46 PM].csv",6.08,0.000499984,,,
"[D4-01-4um-05,Forming,53,8_30_2024 6_25_35 PM].csv",6.18,0.000499828,,,
"[D4-01-4um-06,Forming,54,8_30_2024 6_28_53 PM].csv",5.74,0.000499821,,,
"[D4-01-4um-07,Forming,55,8_30_2024 6_33_29 PM].csv",6.32,0.000499981,,,
"[D4-01-4um-08,Forming,56,8_30_2024 6_36_39 PM].csv",6.14,0.000499792,,,
"[D4-01-4um-09,Forming,57,8_30_2024 6_39_42 PM].csv",6.26,0.000499692,,,
"[D4-01-4um-10,Forming,58,8_30_2024 6_43_24 PM].csv",2.8,0.000423182,,,
"[D4-01-4um-11,Forming,59,8_30_2024 6_46_51 PM].csv",1.62,0.0003715,,,
"[D4-01-4um-12,Forming,60,8_30_2024 6_50_55 PM].csv",8.1,0.000499478,,,
