 V1, I1
1.75,0.00049998
1.775,0.0005
1.8,0.00050002
1.825,0.0005
1.85,0.0005
1.875,0.0005
1.9,0.00050002
1.925,0.00050002
1.95,0.0005
1.975,0.0005
2,0.0005
2.025,0.0005
2.05,0.0005
2.075,0.00050002
2.1,0.00049998
2.125,0.00049998
2.15,0.0005
2.175,0.0005
2.2,0.00049998
2.225,0.00049998
2.25,0.0005
2.275,0.0005
2.3,0.0005
2.325,0.00049998
2.35,0.0005
2.375,0.00049998
2.4,0.0005
2.425,0.00049998
2.45,0.00050002
2.475,0.0005
2.5,0.00049998
2.525,0.0005
2.55,0.0005
2.575,0.0005
2.6,0.0005
2.625,0.00050002
2.65,0.00049998
2.675,0.00049998
2.7,0.0005
2.725,0.00050002
2.75,0.0005
2.775,0.00050002
2.8,0.00049998
2.825,0.00050002
2.85,0.00050002
2.875,0.00049998
2.9,0.00049998
2.925,0.00049998
2.95,0.00049998
2.975,0.0005
3,0.00050002
3.025,0.00050002
3.05,0.00050004
3.075,0.00050002
3.1,0.00050004
3.125,0.0005
3.15,0.0005
3.175,0.00050002
3.2,0.00049998
3.225,0.00049998
3.25,0.00050002
3.275,0.00050002
3.3,0.00049998
3.325,0.0005
3.35,0.00049998
3.375,0.0005
3.4,0.0005
3.425,0.0005
3.45,0.00050002
3.475,0.0005
3.5,0.00050002
3.525,0.00050002
3.55,0.00050002
3.575,0.0005
3.6,0.0005
3.625,0.0005
3.65,0.00049998
3.675,0.00050002
3.7,0.0005
3.725,0.0005
3.75,0.00050002
3.775,0.00049998
3.8,0.0005
3.825,0.00049998
3.85,0.0005
3.875,0.0005
3.9,0.00049998
3.925,0.0005
3.95,0.0005
3.975,0.00049998
4,0.0005
4.025,0.00050002
4.05,0.0005
4.075,0.00050002
4.1,0.00049998
4.125,0.00049998
4.15,0.00049998
4.175,0.0005
4.2,0.00050002
4.225,0.0005
4.25,0.00049998
4.275,0.0005
4.3,0.00049998
4.325,0.0005
4.35,0.0005
4.375,0.0005
4.4,0.00050002
4.425,0.0005
4.45,0.0005
4.475,0.0005
4.5,0.0005
4.525,0.0005
4.55,0.00049998
4.575,0.00049998
4.6,0.0005
4.625,0.00050002
4.65,0.0005
4.675,0.0005
4.7,0.0005
4.725,0.0005
4.75,0.0005
4.775,0.0005
4.8,0.0005
4.825,0.00049998
4.85,0.0005
4.875,0.00050002
4.9,0.0005
4.925,0.00050002
4.95,0.00049998
4.975,0.00049998
5,0.00049998
5,0.0005
4.975,0.0005
4.95,0.0005
4.925,0.0005
4.9,0.00049998
4.875,0.00050002
4.85,0.00050002
4.825,0.0005
4.8,0.0005
4.775,0.00050002
4.75,0.00049998
4.725,0.00049998
4.7,0.0005
4.675,0.0005
4.65,0.0005
4.625,0.0005
4.6,0.0005
4.575,0.00049998
4.55,0.0005
4.525,0.0005
4.5,0.00050002
4.475,0.00050002
4.45,0.0005
4.425,0.00050002
4.4,0.0005
4.375,0.00049998
4.35,0.0005
4.325,0.00049998
4.3,0.00049998
4.275,0.0005
4.25,0.0005
4.225,0.00049998
4.2,0.00049998
4.175,0.00049998
4.15,0.0005
4.125,0.0005
4.1,0.0005
4.075,0.00050002
4.05,0.0005
