V1-form,I1-form,V1,I1
2.7,6.32E-09,-1.32,-0.00015262
2.72,-6.45E-10,-1.3,-0.00015086
2.74,-6.91E-09,-1.28,-0.00014586
2.76,-5.22E-09,-1.26,-0.00014002
2.78,1.89E-09,-1.24,-0.00013666
2.8,6.36E-09,-1.22,-0.0001346
2.82,8.37E-10,-1.2,-0.00013132
2.84,-6.36E-09,-1.18,-0.00012782
2.86,-4.49E-09,-1.16,-0.00012476
2.88,2.57E-09,-1.14,-0.00012168
2.9,6.37E-09,-1.12,-0.00011968
2.92,9.74E-11,-1.1,-0.00011552
2.94,-6.82E-09,-1.08,-0.00011266
2.96,-5.91E-09,-1.06,-0.00010982
2.98,1.23E-09,-1.04,-0.00010682
3,6.67E-09,-1.02,-0.00010428
3.02,4.74E-09,-1,-0.00010138
3.04,-2.28E-09,-0.98,-9.79E-05
3.06,-6.29E-09,-0.96,-9.57E-05
3.08,-2.83E-10,-0.94,-9.30E-05
3.1,6.70E-09,-0.92,-9.04E-05
3.12,6.14E-09,-0.9,-8.77E-05
3.14,-1.14E-09,-0.88,-8.46E-05
3.16,-6.62E-09,-0.86,-8.12E-05
3.18,-4.54E-09,-0.84,-7.86E-05
3.2,2.55E-09,-0.82,-7.58E-05
3.22,6.37E-09,-0.8,-7.33E-05
3.24,5.17E-09,-0.78,-7.01E-05
3.26,-1.73E-09,-0.76,-6.76E-05
3.28,-6.30E-09,-0.74,-6.51E-05
3.3,-7.38E-10,-0.72,-6.26E-05
3.32,6.43E-09,-0.7,-6.01E-05
3.34,4.46E-09,-0.68,-5.75E-05
3.36,-2.66E-09,-0.66,-5.51E-05
3.38,-6.34E-09,-0.64,-5.26E-05
3.4,6.48E-10,-0.62,-4.82E-05
3.42,6.86E-09,-0.6,-4.60E-05
3.44,5.24E-09,-0.58,-4.40E-05
3.46,-1.91E-09,-0.56,-4.07E-05
3.48,-6.33E-09,-0.54,-3.89E-05
3.5,-8.01E-10,-0.52,-3.62E-05
3.52,6.46E-09,-0.5,-3.41E-05
3.54,4.62E-09,-0.48,-3.22E-05
3.56,-2.38E-09,-0.46,-3.05E-05
3.58,-6.28E-09,-0.44,-2.92E-05
3.6,-3.68E-10,-0.42,-2.67E-05
3.62,6.65E-09,-0.4,-2.45E-05
3.64,6.30E-09,-0.38,-2.28E-05
3.66,-6.68E-10,-0.36,-2.18E-05
3.68,-6.85E-09,-0.34,-2.00E-05
3.7,-4.94E-09,-0.32,-1.86E-05
3.72,2.08E-09,-0.3,-1.71E-05
3.74,6.38E-09,-0.28,-1.52E-05
3.76,7.70E-10,-0.26,-1.32E-05
3.78,-5.59E-09,-0.24,-1.17E-05
3.8,-5.11E-09,-0.22,-1.06E-05
3.82,1.95E-09,-0.2,-9.33E-06
3.84,6.41E-09,-0.18,-8.41E-06
3.86,5.40E-09,-0.16,-7.25E-06
3.88,-2.14E-09,-0.14,-6.16E-06
3.9,-6.25E-09,-0.12,-5.27E-06
3.92,-3.55E-10,-0.1,-4.25E-06
3.94,6.80E-09,-0.08,-3.40E-06
3.96,6.10E-09,-0.06,-2.43E-06
3.98,-1.20E-09,-0.04,-1.69E-06
4,-6.50E-09,-0.02,-8.46E-07
4.02,-4.49E-09,0,-2.41E-08
4.04,2.46E-09,0,-5.76E-08
4.06,6.39E-09,0.025,7.93E-07
4.08,4.43E-10,0.05,1.66E-06
4.1,-6.65E-09,0.075,2.51E-06
4.12,-5.96E-09,0.1,3.23E-06
4.14,1.14E-09,0.125,4.10E-06
4.16,6.74E-09,0.15,5.00E-06
4.18,4.83E-09,0.175,5.88E-06
4.2,-2.12E-09,0.2,6.78E-06
4.22,-6.14E-09,0.225,7.77E-06
4.24,-1.85E-10,0.25,8.34E-06
4.26,7.08E-09,0.275,8.65E-06
4.28,6.08E-09,0.3,9.67E-06
4.3,-1.10E-09,0.325,1.06E-05
4.32,-6.32E-09,0.35,9.43E-06
4.34,-8.04E-10,0.375,1.03E-05
4.36,6.48E-09,0.4,1.09E-05
4.38,6.04E-09,0.425,1.21E-05
4.4,-1.81E-09,0.45,1.28E-05
4.42,-5.69E-09,0.475,1.40E-05
4.44,5.37E-10,0.5,1.53E-05
4.46,7.42E-09,0.525,1.48E-05
4.48,6.03E-09,0.55,1.61E-05
4.5,7.58E-09,0.575,1.71E-05
4.52,1.07E-08,0.6,1.69E-05
4.54,1.26E-08,0.625,1.74E-05
4.56,1.72E-08,0.65,1.86E-05
4.58,1.73E-08,0.675,1.85E-05
4.6,1.83E-08,0.7,1.95E-05
4.62,1.13E-08,0.725,1.92E-05
4.64,8.80E-09,0.75,1.98E-05
4.66,1.47E-08,0.775,2.28E-05
4.68,1.95E-08,0.8,2.53E-05
4.7,6.54E-08,0.825,2.55E-05
4.72,0.00050002,0.85,3.63E-05
4.74,0.00050002,0.875,4.16E-05
4.76,0.00050002,0.9,0.0005
4.78,0.00050002,0.925,0.0003917
4.8,0.0005,0.95,0.00050004
4.82,0.00050002,0.975,0.00049998
4.84,0.00050002,1,0.0005
4.86,0.0005,1.025,0.00050002
4.88,0.00050002,1.05,0.00049998
4.9,0.00050002,1.075,0.00050002
4.92,0.0005,1.1,0.00049998
4.94,0.00049998,1.125,0.0005
4.96,0.00049998,1.15,0.0005
4.98,0.0005,1.175,0.00049998
5,0.00049998,1.2,0.00050002
5.02,0.0005,1.225,0.0005
5.04,0.0005,1.25,0.0005
5.06,0.0005,1.275,0.00049998
5.08,0.0005,1.3,0.0005
5.1,0.0005,1.325,0.00050002
5.12,0.0005,1.35,0.00049998
5.14,0.00050002,1.375,0.0005
5.16,0.0005,1.4,0.00050002
5.18,0.00049998,1.425,0.0005
5.2,0.00049998,1.45,0.0005
5.22,0.00050002,1.475,0.00050002
5.24,0.0005,1.5,0.0005
5.26,0.0005,1.525,0.00049998
5.28,0.00050002,1.55,0.00050002
5.3,0.0005,1.575,0.00049998
5.32,0.00049998,1.6,0.00050002
5.34,0.0005,1.625,0.0005
5.36,0.0005,1.65,0.00049998
5.38,0.0005,1.675,0.00050002
5.4,0.0005,1.7,0.0005
5.42,0.0005,1.725,0.00049998
5.44,0.0005,1.75,0.00049998
5.46,0.0005,1.775,0.0005
5.48,0.00050002,1.8,0.00050002
5.5,0.0005,1.825,0.0005
5.52,0.0005,1.85,0.0005
5.54,0.00049998,1.875,0.0005
5.56,0.0005,1.9,0.00050002
5.58,0.00050002,1.925,0.00050002
5.6,0.0005,1.95,0.0005
5.62,0.00050002,1.975,0.0005
5.64,0.0005,2,0.0005
5.66,0.0005,2.025,0.0005
5.68,0.00049998,2.05,0.0005
5.7,0.00050002,2.075,0.00050002
5.72,0.00050002,2.1,0.00049998
5.74,0.0005,2.125,0.00049998
5.76,0.0005,2.15,0.0005
5.78,0.00049998,2.175,0.0005
5.8,0.0005,2.2,0.00049998
5.82,0.00049998,2.225,0.00049998
5.84,0.0005,2.25,0.0005
5.86,0.00049998,2.275,0.0005
5.88,0.0005,2.3,0.0005
5.9,0.00049998,2.325,0.00049998
5.92,0.0005,2.35,0.0005
5.94,0.00050002,2.375,0.00049998
5.96,0.00049998,2.4,0.0005
5.98,0.00050002,2.425,0.00049998
6,0.00050002,2.45,0.00050002
6.02,0.0005,2.475,0.0005
6.04,0.0005,2.5,0.00049998
6.06,0.0005,2.525,0.0005
6.08,0.0005,2.55,0.0005
6.1,0.00050002,2.575,0.0005
6.12,0.0005,2.6,0.0005
6.14,0.00049998,2.625,0.00050002
6.16,0.00050002,2.65,0.00049998
6.18,0.00050002,2.675,0.00049998
6.2,0.0005,2.7,0.0005
6.22,0.0005,2.725,0.00050002
6.24,0.0005,2.75,0.0005
6.26,0.00049998,2.775,0.00050002
6.28,0.0005,2.8,0.00049998
6.3,0.00049998,2.825,0.00050002
6.32,0.0005,2.85,0.00050002
6.34,0.0005,2.875,0.00049998
6.36,0.0005,2.9,0.00049998
6.38,0.0005,2.925,0.00049998
6.4,0.00050002,2.95,0.00049998
6.42,0.00049998,2.975,0.0005
6.44,0.0005,3,0.00050002
6.46,0.00049998,3.025,0.00050002
6.48,0.0005,3.05,0.00050004
6.5,0.00050002,3.075,0.00050002
6.52,0.0005,3.1,0.00050004
6.54,0.00049998,3.125,0.0005
6.56,0.0005,3.15,0.0005
6.58,0.00050002,3.175,0.00050002
6.6,0.00049998,3.2,0.00049998
6.62,0.0005,3.225,0.00049998
6.64,0.00050002,3.25,0.00050002
6.66,0.00049998,3.275,0.00050002
6.68,0.0005,3.3,0.00049998
6.7,0.0005,3.325,0.0005
6.72,0.0005,3.35,0.00049998
6.74,0.0005,3.375,0.0005
