parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0021272289,1,0.25,not_evaluated,,1/1
g0,4.151537e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,489.83784,1,0.5,not_evaluated,,1/1
V0_set,1.0486685,1,0.1,not_evaluated,,1/1
V0_res,0.96968668,1,0.1,not_evaluated,,1/1
gamma0_set,4.7756188,1,0.4,not_evaluated,,1/1
gamma0_res,7.6057891,0,0.4,not_evaluated,,1/1
Ea_set,0.27523341,1,1.1719,not_evaluated,,1/1
Ea_res,0.89112597,1,1.11429,not_evaluated,,1/1
F_min_set,1.3040763e+09,1,0.3,not_evaluated,,1/1
F_min_res,1.514031e+09,1,0.3,not_evaluated,,1/1
Vel0_set,0.3753025,1,0.5,not_evaluated,,1/1
Vel0_res,11.993944,1,0.5,not_evaluated,,1/1
gap_max_set,2.008645e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.1545265e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,8.1725431e-10,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.4531172e-10,1,0.5,not_evaluated,,1/1
