parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.001493589,1,0.25,not_evaluated,,0/0
g0,3.1135194e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,1750.4536,1,0.5,not_evaluated,,0/0
V0_set,1.3201689,1,0.1,not_evaluated,,0/0
V0_res,1.1520635,1,0.1,not_evaluated,,0/0
gamma0_set,21.496767,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.47886963,1,0.666667,not_evaluated,,0/0
Ea_res,0.87856226,1,0.666667,not_evaluated,,0/0
F_min_set,1.423193e+09,1,0.3,not_evaluated,,0/0
F_min_res,1.3967171e+09,1,0.3,not_evaluated,,0/0
Vel0_set,0.67747295,1,0.5,not_evaluated,,0/0
Vel0_res,0.18820088,1,0.5,not_evaluated,,0/0
gap_max_set,1.7148807e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.6074308e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,1.1001608e-09,1,0.214286,not_evaluated,,0/0
gap_ini_res,9.4587649e-11,1,0.5,not_evaluated,,0/0
