parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0026032019,1,Inf,not_evaluated,,1/1
g0,3.9536191e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,238.60775,1,Inf,not_evaluated,,1/1
V0_set,0.70744671,1,Inf,not_evaluated,,1/1
V0_res,0.72567121,1,Inf,not_evaluated,,1/1
gamma0_set,23.604286,1,Inf,not_evaluated,,1/1
gamma0_res,9.1418452,0,Inf,not_evaluated,,1/1
Ea_set,0.74509357,1,Inf,not_evaluated,,1/1
Ea_res,0.51122484,1,Inf,not_evaluated,,1/1
F_min_set,1.536384e+09,1,Inf,not_evaluated,,1/1
F_min_res,1.0192865e+09,1,Inf,not_evaluated,,1/1
Vel0_set,0.3514609,1,Inf,not_evaluated,,1/1
Vel0_res,1.0377816,1,Inf,not_evaluated,,1/1
gap_max_set,6.0324329e-09,1,Inf,not_evaluated,,1/1
gap_max_res,3.3363902e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.9661413e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,1.2664125e-10,1,Inf,not_evaluated,,1/1
