parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.00069264124,1,3.90373e+06,non_identifiable,,1/1
g0,3.7866085e-10,1,1.04849e+13,non_identifiable,,1/1
beta,1.25,0,1252.93,non_identifiable,,1/1
Rth,2100,0,0.00544341,identifiable,,1/1
gap_min,1e-10,0,1.02728e+14,non_identifiable,,1/1
tox,7e-09,0,2.14632e+11,non_identifiable,,1/1
Rs,466.96382,1,0.00424279,identifiable,,1/1
V0_set,0.94989781,1,0.178486,identifiable,,1/1
V0_res,0.8218735,1,0.233332,identifiable,,1/1
gamma0_set,8.7817068,1,5.68203,non_identifiable,,1/1
gamma0_res,6.086786,0,Inf,non_identifiable,,1/1
Ea_set,0.40120785,1,3917.68,non_identifiable,,1/1
Ea_res,0.13207976,1,Inf,non_identifiable,,1/1
F_min_set,1.2801521e+09,1,1.97569e-06,identifiable,,1/1
F_min_res,2.3661398e+09,1,Inf,non_identifiable,,1/1
Vel0_set,12.170507,1,131.18,non_identifiable,,1/1
Vel0_res,5.216005,1,Inf,non_identifiable,,1/1
gap_max_set,1.5118207e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.002711e-09,1,3.90126e+12,non_identifiable,,1/1
gap_ini_set,1.1087928e-09,1,3.52267e+12,non_identifiable,,1/1
gap_ini_res,7.6632078e-11,1,Inf,non_identifiable,,1/1
