branch,state,v_lo,v_hi,mechanism,slope,intercept,r2,bic,delta_bic,mechanism_second,ambiguous,eps_r_dyn,n_points,stanford_valid,condition
SET,SET_HRS_PRE,0.725,1.05,schottky,3.781165500186529,-8.583259527938676,0.4018754388805491,-33.81579859636066,0.0738067875382881,poole_frenkel,1,4.0605299834361945,14,0,S4
SET,SET_LRS_POST,0.05,0.425,ohmic,0.9957600548665456,-2.983682490465577,0.9999987300868174,-254.1860568923681,156.19059538877443,schottky,0,,16,1,S4
RESET,RESET_LRS_PRE,0.06,0.9,ohmic,0.7854949870733403,-3.1368249311600302,0.9177144345054082,-202.64186040654076,33.39712294388136,schottky,0,,40,1,S4
RESET,RESET_LRS_PRE,0.38,1.86,unclassified,,,,,,,0,,72,0,S4
RESET,RESET_HRS_POST,0.06,0.68,schottky,2.4844703131759243,-6.651722456797413,0.991250289726158,-201.4505174035369,2.488487104039592,ohmic,1,9.40516613852338,32,0,S4
RESET,RESET_HRS_POST,0.22,0.8400000000000001,ohmic,1.6552252940839816,-4.39055533320806,0.9968368522276058,-259.4532987917599,49.77247095107916,schottky,0,,32,1,S4
RESET,RESET_HRS_POST,0.38,1.16,schottky,1.803525078186084,-6.161951901349172,0.996968082355378,-337.57575845994654,28.95895242541889,ohmic,0,17.84800684703009,40,0,S4
RESET,RESET_HRS_POST,0.7000000000000001,1.64,ohmic,1.801198121340995,-4.364033325677564,0.9932127594298544,-389.42856475442574,47.27173050528694,schottky,0,,48,1,S4
RESET,RESET_HRS_POST,1.1800000000000002,1.96,schottky,1.127898118091872,-5.437235508034811,0.9930651231654034,-371.8901731107584,17.825523921510182,ohmic,0,45.634610807384256,40,0,S4
SET,SET_HRS_PRE,0.05,0.625,ohmic,1.0264593319605524,-3.699890303151496,0.9988320042119652,-212.9684949686612,83.64068626556121,schottky,0,,24,1,S5
SET,SET_HRS_PRE,0.425,0.7000000000000001,schottky,1.1804132551021558,-4.8494143233591736,0.9898312538566484,-114.37437781014806,3.5965053225256014,ohmic,1,41.66447749591924,12,0,S5
