condition,parameter,theta,theta_point,ci_lo,ci_hi,cv,frac_at_bound
S5,I0,0.00190246,0.00129676,0.000192932,0.00786594,0.8283,0
S5,g0,3.77249e-10,3.13711e-10,1.96927e-10,4.97273e-10,0.2636,0.04
S5,Rs,65.525,1191.48,10.1444,2476.5,1.73,1
S5,V0_set,0.551545,0.755427,0.361448,0.958229,0.2637,0
S5,V0_res,0.477298,0.904544,0.325028,0.865816,0.28,0
S5,gamma0_set,16.512,22.4595,4.6023,23.7275,0.4025,0.015
S5,Ea_set,0.324092,0.387534,0.103448,0.970829,0.6803,0.075
S5,Ea_res,0.616976,0.985137,0.104622,0.974156,0.5178,0.045
S5,F_min_set,1.10114e+09,1.17595e+09,5.1207e+08,2.79088e+09,0.5105,0.045
S5,F_min_res,1.29331e+09,1.28124e+09,5.42467e+08,2.95529e+09,0.5108,0.03
S5,Vel0_set,1.85618,3.34214,0.112732,18.8509,1.195,0.205
S5,Vel0_res,1.14798,0.151394,0.107214,18.5193,1.306,0.245
S5,gap_max_set,1.74564e-09,1.65911e-09,1.03706e-09,2.50131e-09,0.2486,0.06
S5,gap_max_res,1.55966e-09,1.60739e-09,1.03206e-09,2.54652e-09,0.3001,0.135
S5,gap_ini_set,1.23232e-09,9.95076e-10,5.39933e-10,2.2516e-09,0.4044,0
S5,gap_ini_res,1.43222e-10,9.72379e-11,5.3179e-11,2.41803e-10,0.3796,0.045
S6,I0,0.00105273,0.000748028,0.000179665,0.00513282,0.9077,0.01
S6,g0,3.81175e-10,3.83946e-10,1.76305e-10,4.98167e-10,0.2741,0.055
S6,Rs,407.311,1030.3,11.0777,9783.82,1.525,0.975
S6,V0_set,0.846219,0.850084,0.55816,1.36184,0.2645,0.005
S6,V0_res,0.885395,0.988842,0.600772,1.416,0.2548,0
S6,gamma0_set,16.6864,13.1659,4.75392,23.807,0.3652,0.04
S6,Ea_set,0.263015,0.238171,0.100943,0.894216,0.7153,0.14
S6,Ea_res,0.52877,0.661562,0.126115,0.971328,0.467,0.02
S6,F_min_set,1.31882e+09,1.51634e+09,5.3078e+08,2.90587e+09,0.4989,0.025
S6,F_min_res,1.76394e+09,1.37486e+09,5.29488e+08,2.97293e+09,0.4592,0.065
S6,Vel0_set,2.75519,0.398507,0.117458,17.3164,1.118,0.195
