parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0012280441,1,3.45728e+06,non_identifiable,,1/1
g0,4.20701e-10,1,1.51643e+09,non_identifiable,,1/1
beta,1.25,0,Inf,non_identifiable,,1/1
Rth,2100,0,Inf,non_identifiable,,1/1
gap_min,1e-10,0,1.78616e+14,non_identifiable,,1/1
tox,7e-09,0,Inf,non_identifiable,,1/1
Rs,17.202712,1,2.98037,non_identifiable,,1/1
V0_set,0.65608389,1,0.502663,weakly_identifiable,,1/1
V0_res,0.56861049,1,0.786486,weakly_identifiable,,1/1
gamma0_set,6.1014616,1,Inf,non_identifiable,,1/1
gamma0_res,20.587966,0,Inf,non_identifiable,,1/1
Ea_set,0.81580423,1,Inf,non_identifiable,,1/1
Ea_res,0.39420203,1,Inf,non_identifiable,,1/1
F_min_set,1.3954486e+09,1,Inf,non_identifiable,,1/1
F_min_res,2.0160942e+09,1,Inf,non_identifiable,,1/1
Vel0_set,0.86741324,1,Inf,non_identifiable,,1/1
Vel0_res,13.181831,1,Inf,non_identifiable,,1/1
gap_max_set,1.7935345e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.0653315e-09,1,1.5738e+12,non_identifiable,,1/1
gap_ini_set,1.1869513e-09,1,1.2678e+12,non_identifiable,,1/1
gap_ini_res,2.0817278e-10,1,4.1216e+13,non_identifiable,,1/1
