parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0078427619,1,1799.11,non_identifiable,,1/1
g0,3.6390882e-10,1,2.43581e+10,non_identifiable,,1/1
beta,1.25,0,3101.45,non_identifiable,,1/1
Rth,2100,0,4.9309,non_identifiable,,1/1
gap_min,1e-10,0,Inf,non_identifiable,,1/1
tox,7e-09,0,5.67252e+11,non_identifiable,,1/1
Rs,1810.6903,1,0.00168689,identifiable,,1/1
V0_set,0.74152581,1,1.52629,weakly_identifiable,,1/1
V0_res,1.9190661,1,0.330774,identifiable,,1/1
gamma0_set,10.443671,1,369.071,non_identifiable,,1/1
gamma0_res,18.270679,0,Inf,non_identifiable,,1/1
Ea_set,0.71198966,1,849.888,non_identifiable,,1/1
Ea_res,0.35417826,1,1979.39,non_identifiable,,1/1
F_min_set,7.7734191e+08,1,1.18881e-06,identifiable,,1/1
F_min_res,6.5394966e+08,1,6.36741e-06,identifiable,,1/1
Vel0_set,12.024385,1,1139.81,non_identifiable,,1/1
Vel0_res,0.13087288,1,391.647,non_identifiable,,1/1
gap_max_set,1.8690434e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.6645437e-09,1,5.07153e+09,non_identifiable,,1/1
gap_ini_set,1.7602311e-09,1,4.81421e+09,non_identifiable,,1/1
gap_ini_res,1.8044208e-10,1,8.01422e+06,non_identifiable,,1/1
