parameter,value,loss
I0,1e-08,1331.0237
I0,0.0023126132,34.934538
I0,0.0033000067,35.099421
I0,0.004950005,36.935352
I0,0.0066000033,51.515302
I0,0.0082500017,51.994416
I0,0.0099,52.404868
g0,2.1609603e-10,51.683762
g0,2.4942937e-10,39.847824
g0,2.827627e-10,35.792557
g0,3.1609603e-10,34.934538
g0,3.4942937e-10,35.671862
g0,3.827627e-10,37.322725
g0,4.1609603e-10,39.110258
Rs,10,41.3097
Rs,226.41745,35.763275
Rs,350.7756,34.934538
Rs,659.25234,34.433732
Rs,875.66979,35.184616
Rs,1092.0872,47.289402
Rs,1308.5047,47.044212
V0_set,0.05,41.137063
V0_set,0.375,36.860617
V0_set,0.7,35.365504
V0_set,1.025,34.985519
V0_set,1.35,34.887595
V0_set,1.675,34.897786
V0_set,1.8794353,34.934538
V0_res,0.05,51.590899
V0_res,0.53016072,34.934538
V0_res,0.7,36.221604
V0_res,1.025,41.342138
V0_res,1.35,48.171529
V0_res,1.675,51.60852
V0_res,2,54.641382
gamma0_set,5.3815174,34.934538
gamma0_set,7.3333333,33.767744
gamma0_set,10.666667,34.034787
gamma0_set,14,35.323816
gamma0_set,17.333333,36.385305
gamma0_set,20.666667,37.010292
gamma0_set,24,37.748841
Ea_set,0.1,34.777165
Ea_set,0.24833333,34.698208
Ea_set,0.39666667,34.646755
Ea_set,0.545,34.622805
Ea_set,0.62044635,34.934538
Ea_set,0.84166667,36.139466
Ea_set,0.99,36.591396
Ea_res,0.11743528,34.934538
Ea_res,0.23623921,34.871696
Ea_res,0.37247843,34.821349
Ea_res,0.50871764,34.794203
Ea_res,0.64495685,34.494658
Ea_res,0.78119606,34.590426
Ea_res,0.91743528,49.481514
F_min_set,5e+08,35.191619
F_min_set,7.5353082e+08,34.972557
F_min_set,1.0070616e+09,34.86092
F_min_set,1.1811849e+09,34.934538
F_min_set,1.5141233e+09,35.407494
F_min_set,1.7676541e+09,35.826831
F_min_set,2.0211849e+09,36.315301
F_min_res,7.4796873e+08,44.28242
F_min_res,1.0279687e+09,37.974976
F_min_res,1.3079687e+09,35.58139
F_min_res,1.5879687e+09,34.934538
F_min_res,1.8679687e+09,34.578821
F_min_res,2.1479687e+09,34.912681
F_min_res,2.4279687e+09,35.544475
Vel0_set,7.2359189,34.883258
Vel0_set,9.3465991,34.766383
Vel0_set,11.457279,34.757155
Vel0_set,13.567959,34.791637
Vel0_set,15.67864,34.86145
Vel0_set,17.235919,34.934538
Vel0_set,19.9,35.100538
Vel0_res,0.28353995,34.934538
Vel0_res,1.7972567,34.826039
Vel0_res,3.4945133,34.726185
Vel0_res,5.19177,34.649376
Vel0_res,6.8890266,34.595612
Vel0_res,8.5862833,34.564894
Vel0_res,10.28354,34.557221
gap_max_set,1.44737e-09,34.871378
gap_max_set,1.64737e-09,34.803542
gap_max_set,1.84737e-09,34.824595
gap_max_set,2.04737e-09,34.934538
gap_max_set,2.24737e-09,35.133369
gap_max_set,2.44737e-09,35.421089
gap_max_set,2.64737e-09,35.797698
gap_max_res,1.0372473e-09,41.071202
gap_max_res,1.2372473e-09,38.270051
gap_max_res,1.4372473e-09,35.913436
gap_max_res,1.6372473e-09,34.934538
gap_max_res,1.8372473e-09,35.825392
gap_max_res,2.0372473e-09,38.724571
gap_max_res,2.2372473e-09,43.704725
gap_ini_set,5e-10,37.606532
gap_ini_set,6.9632584e-10,36.088108
gap_ini_set,8.9265169e-10,35.087983
gap_ini_set,1.0779551e-09,34.934538
gap_ini_set,1.2853034e-09,36.552812
gap_ini_set,1.4816292e-09,43.309125
gap_ini_set,1.6779551e-09,79.562711
gap_ini_res,5e-11,34.898862
gap_ini_res,7.9766597e-11,34.815237
gap_ini_res,1.0953319e-10,34.79409
gap_ini_res,1.2859958e-10,34.934538
gap_ini_res,1.6906639e-10,35.059642
gap_ini_res,1.9883298e-10,35.540447
gap_ini_res,2.2859958e-10,35.792367
