parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0052632584,1,Inf,not_evaluated,,1/1
g0,3.4115303e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,10.469747,1,Inf,not_evaluated,,1/1
V0_set,1.9515373,1,Inf,not_evaluated,,1/1
V0_res,1.1642683,1,Inf,not_evaluated,,1/1
gamma0_set,10.16262,1,Inf,not_evaluated,,1/1
gamma0_res,13.403793,0,Inf,not_evaluated,,1/1
Ea_set,0.1523308,1,Inf,not_evaluated,,1/1
Ea_res,0.70583047,1,Inf,not_evaluated,,1/1
F_min_set,7.0401832e+08,1,Inf,not_evaluated,,1/1
F_min_res,2.267728e+09,1,Inf,not_evaluated,,1/1
Vel0_set,17.493447,1,Inf,not_evaluated,,1/1
Vel0_res,0.53530046,1,Inf,not_evaluated,,1/1
gap_max_set,2.5240272e-09,1,Inf,not_evaluated,,1/1
gap_max_res,4.6561624e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.4838165e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,3.1535438e-10,1,Inf,not_evaluated,,1/1
