parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0016905324,1,0.25,not_evaluated,,1/1
g0,3.3658021e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,982.6586,1,0.5,not_evaluated,,1/1
V0_set,1.147773,1,0.1,not_evaluated,,1/1
V0_res,0.82676568,1,0.1,not_evaluated,,1/1
gamma0_set,5.574267,1,0.4,not_evaluated,,1/1
gamma0_res,5.4357353,0,0.4,not_evaluated,,1/1
Ea_set,0.38747275,1,1.2725,not_evaluated,,1/1
Ea_res,0.44987861,1,1.23114,not_evaluated,,1/1
F_min_set,1.4517699e+09,1,0.3,not_evaluated,,1/1
F_min_res,1.7108714e+09,1,0.3,not_evaluated,,1/1
Vel0_set,1.6630439,1,0.5,not_evaluated,,1/1
Vel0_res,1.9227725,1,0.5,not_evaluated,,1/1
gap_max_set,1.7025857e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.6911814e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,7.7017062e-10,1,0.214286,not_evaluated,,1/1
gap_ini_res,8.9146939e-11,1,0.5,not_evaluated,,1/1
