parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0021272289,1,1.69031e+06,non_identifiable,,1/1
g0,4.151537e-10,1,6.18834e+12,non_identifiable,,1/1
beta,1.25,0,Inf,non_identifiable,,1/1
Rth,2100,0,Inf,non_identifiable,,1/1
gap_min,1e-10,0,1.74962e+14,non_identifiable,,1/1
tox,7e-09,0,Inf,non_identifiable,,1/1
Rs,489.83784,1,0.0151453,identifiable,,1/1
V0_set,1.0486685,1,1.86129,weakly_identifiable,,1/1
V0_res,0.96968668,1,1.17064,weakly_identifiable,,1/1
gamma0_set,4.7756188,1,Inf,non_identifiable,,1/1
gamma0_res,7.6057891,0,Inf,non_identifiable,,1/1
Ea_set,0.27523341,1,Inf,non_identifiable,,1/1
Ea_res,0.89112597,1,Inf,non_identifiable,,1/1
F_min_set,1.3040763e+09,1,Inf,non_identifiable,,1/1
F_min_res,1.514031e+09,1,Inf,non_identifiable,,1/1
Vel0_set,0.3753025,1,Inf,non_identifiable,,1/1
Vel0_res,11.993944,1,Inf,non_identifiable,,1/1
gap_max_set,2.008645e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.1545265e-09,1,3.34445e+12,non_identifiable,,1/1
gap_ini_set,8.1725431e-10,1,5.3773e+12,non_identifiable,,1/1
gap_ini_res,1.4531172e-10,1,8.83675e+13,non_identifiable,,1/1
