parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0079952263,1,Inf,not_evaluated,,1/1
g0,4.240614e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,2042.0123,1,Inf,not_evaluated,,1/1
V0_set,1.9263587,1,Inf,not_evaluated,,1/1
V0_res,1.2302917,1,Inf,not_evaluated,,1/1
gamma0_set,21.759129,1,Inf,not_evaluated,,1/1
gamma0_res,20.587966,0,Inf,not_evaluated,,1/1
Ea_set,0.15591997,1,Inf,not_evaluated,,1/1
Ea_res,0.3560494,1,Inf,not_evaluated,,1/1
F_min_set,1.1321643e+09,1,Inf,not_evaluated,,1/1
F_min_res,7.5046065e+08,1,Inf,not_evaluated,,1/1
Vel0_set,0.30008621,1,Inf,not_evaluated,,1/1
Vel0_res,18.177621,1,Inf,not_evaluated,,1/1
gap_max_set,3.4858365e-09,1,Inf,not_evaluated,,1/1
gap_max_res,7.6248387e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.7843536e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,3.0489557e-10,1,Inf,not_evaluated,,1/1
