File Name,Corresponding Data Point,Maximum Subtraction,,,,,
"[A8-02-4um-01,Forming,58,9_3_2024 3_52_57 PM].csv",9.74,0.000499858,6.538604651,1.465754162,0.224169259,3.32,9.74
"[B6-03-4um-03,Forming,88,9_3_2024 4_54_34 PM].csv",9.66,0.000499951,,,,,
"[B6-03-4um-02,Forming,89,9_3_2024 4_57_32 PM].csv",9.16,0.000500021,,,,,
"[B6-03-4um-01,Forming,90,9_3_2024 4_58_20 PM].csv",8.92,0.000499955,,,,,
"[B6-01-4um-12,Forming,79,9_3_2024 4_32_41 PM].csv",8.28,0.00049328,,,,,
"[B6-01-4um-11,Forming,78,9_3_2024 4_32_02 PM].csv",8,0.00049968,,,,,
"[B6-01-4um-10,Forming,77,9_3_2024 4_28_28 PM].csv",7.96,0.000499821,,,,,
"[B6-01-4um-09,Forming,76,9_3_2024 4_27_49 PM].csv",7.96,0.000492607,,,,,
"[B6-01-4um-08,Forming,75,9_3_2024 4_27_13 PM].csv",7.76,0.00024624,,,,,
"[B6-01-4um-07,Forming,74,9_3_2024 4_26_38 PM].csv",7.62,5.44E-05,,,,,
"[B6-01-4um-06,Forming,73,9_3_2024 4_26_11 PM].csv",7.42,0.00025308,,,,,
"[B6-01-4um-05,Forming,72,9_3_2024 4_23_30 PM].csv",7.4,0.00049996,,,,,
"[B6-01-4um-04,Forming,71,9_3_2024 4_22_53 PM].csv",7.34,0.00026572,,,,,
"[B6-01-4um-03,Forming,70,9_3_2024 4_22_25 PM].csv",7.3,2.50E-05,,,,,
"[B6-01-4um-02,Forming,69,9_3_2024 4_21_41 PM].csv",7.18,4.63E-05,,,,,
"[B6-01-4um-01,Forming,68,9_3_2024 4_18_30 PM].csv",6.96,0.000499995,,,,,
"[B3-01-4um-08,Forming,97,9_3_2024 5_24_43 PM].csv",6.8,0.000499828,,,,,
"[B3-01-4um-07,Forming,96,9_3_2024 5_23_47 PM].csv",6.7,0.000499949,,,,,
"[B3-01-4um-06,Forming,95,9_3_2024 5_11_25 PM].csv",6.42,0.000262512,,,,,
"[B3-01-4um-04,Forming,94,9_3_2024 5_08_38 PM].csv",6.36,0.000499819,,,,,
"[B3-01-4um-03,Forming,93,9_3_2024 5_05_45 PM].csv",6.36,0.000499955,,,,,
"[B3-01-4um-02,Forming,92,9_3_2024 5_04_58 PM].csv",6.28,0.000499578,,,,,
"[B3-01-4um-01,Forming,91,9_3_2024 5_01_54 PM].csv",6.22,0.000499376,,,,,
"[A8-02-4um-10,Forming,67,9_3_2024 4_13_55 PM].csv",6.16,0.00027346,,,,,
"[A8-02-4um-09,Forming,66,9_3_2024 4_11_06 PM].csv",6.14,0.00047879,,,,,
"[A8-02-4um-08,Forming,65,9_3_2024 4_08_25 PM].csv",6.12,0.000447864,,,,,
"[A8-02-4um-07,Forming,64,9_3_2024 4_05_39 PM].csv",6.08,0.000499962,,,,,
"[A8-02-4um-06,Forming,63,9_3_2024 4_04_32 PM].csv",6.06,0.0004017,,,,,
"[A8-02-4um-05,Forming,62,9_3_2024 4_03_53 PM].csv",6.06,0.000398666,,,,,
"[A8-02-4um-04,Forming,61,9_3_2024 4_01_09 PM].csv",6,0.000500007,,,,,
"[A8-02-4um-03,Forming,60,9_3_2024 3_58_21 PM].csv",6,0.000500002,,,,,
"[A8-02-4um-02,Forming,59,9_3_2024 3_55_40 PM].csv",5.88,6.67E-09,,,,,
"[B6-03-4um-04,Forming,87,9_3_2024 4_53_45 PM].csv",5.72,0.000499983,,,,,
"[B6-03-4um-06,Forming,86,9_3_2024 4_53_00 PM].csv",5.68,0.000142573,,,,,
"[B6-03-4um-07,Forming,85,9_3_2024 4_50_15 PM].csv",5.66,0.000499945,,,,,
"[B6-03-4um-08,Forming,84,9_3_2024 4_41_17 PM].csv",5.66,0.000499301,,,,,
"[B6-03-4um-09,Forming,83,9_3_2024 4_40_30 PM].csv",5.58,0.000499759,,,,,
"[B6-03-4um-10,Forming,82,9_3_2024 4_38_20 PM].csv",5.02,0.000499751,,,,,
"[B6-03-4um-11,Forming,81,9_3_2024 4_37_27 PM].csv",4.52,0.000499922,,,,,
"[B6-03-4um-12,Forming,80,9_3_2024 4_34_27 PM].csv",4.48,0.000499813,,,,,
"[C2-02-4um-01,Forming,1,9_4_2024 10_57_49 AM].csv",3.88,0.000499898,,,,,
"[C2-02-4um-02,Forming,2,9_4_2024 11_01_01 AM].csv",3.34,0.000499968,,,,,
"[C2-02-4um-03,Forming,3,9_4_2024 11_03_15 AM].csv",3.32,0.000499633,,,,,
