parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0029373065,1,5.41622,not_evaluated,,1/1
g0,3.0369783e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,796.88404,1,0.5,not_evaluated,,1/1
V0_set,1.7265281,1,3.72681,not_evaluated,,1/1
V0_res,1.8587035,1,3.72681,not_evaluated,,1/1
gamma0_set,21.415638,1,0.4,not_evaluated,,1/1
gamma0_res,7.7539541,0,0.4,not_evaluated,,1/1
Ea_set,0.48371697,1,0.971741,not_evaluated,,1/1
Ea_res,0.28250545,1,1.02777,not_evaluated,,1/1
F_min_set,2.5877497e+09,1,0.3,not_evaluated,,1/1
F_min_res,1.244813e+09,1,0.3,not_evaluated,,1/1
Vel0_set,0.1252218,1,0.5,not_evaluated,,1/1
Vel0_res,16.442877,1,0.5,not_evaluated,,1/1
gap_max_set,1.7878315e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.0368447e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.0099142e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.1790666e-10,1,0.5,not_evaluated,,1/1
