parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.003727217,1,Inf,not_evaluated,,1/1
g0,4.0572865e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,59.3173,1,Inf,not_evaluated,,1/1
V0_set,1.6248091,1,Inf,not_evaluated,,1/1
V0_res,1.26285,1,Inf,not_evaluated,,1/1
gamma0_set,23.58959,1,Inf,not_evaluated,,1/1
gamma0_res,18.270679,0,Inf,not_evaluated,,1/1
Ea_set,0.88522341,1,Inf,not_evaluated,,1/1
Ea_res,0.85736183,1,Inf,not_evaluated,,1/1
F_min_set,9.3728698e+08,1,Inf,not_evaluated,,1/1
F_min_res,8.3499269e+08,1,Inf,not_evaluated,,1/1
Vel0_set,0.12522862,1,Inf,not_evaluated,,1/1
Vel0_res,3.2602706,1,Inf,not_evaluated,,1/1
gap_max_set,5.2439407e-09,1,Inf,not_evaluated,,1/1
gap_max_res,3.3266729e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.8692603e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,1.8041571e-10,1,Inf,not_evaluated,,1/1
