parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.005568426,1,Inf,not_evaluated,,1/1
g0,3.2987523e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,1870.4348,1,Inf,not_evaluated,,1/1
V0_set,0.72932045,1,Inf,not_evaluated,,1/1
V0_res,0.17032543,1,Inf,not_evaluated,,1/1
gamma0_set,19.428225,1,Inf,not_evaluated,,1/1
gamma0_res,5.4357353,0,Inf,not_evaluated,,1/1
Ea_set,0.55423985,1,Inf,not_evaluated,,1/1
Ea_res,0.14340932,1,Inf,not_evaluated,,1/1
F_min_set,6.042083e+08,1,Inf,not_evaluated,,1/1
F_min_res,1.8249006e+09,1,Inf,not_evaluated,,1/1
Vel0_set,0.67849817,1,Inf,not_evaluated,,1/1
Vel0_res,0.701134,1,Inf,not_evaluated,,1/1
gap_max_set,7.4383101e-09,1,Inf,not_evaluated,,1/1
gap_max_res,3.3280556e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.0758976e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,2.9204456e-10,1,Inf,not_evaluated,,1/1
