Data Points,CDF
4.39E-07,0.051282051
4.96E-07,0.102564051
4.96E-07,0.153846051
5.13E-07,0.205128051
6.35E-07,0.256410051
7.67E-07,0.307692051
8.16E-07,0.358974051
9.13E-07,0.410256051
1.03E-06,0.461538051
1.07E-06,0.512820051
1.19E-06,0.564102051
1.27E-06,0.615384051
1.29E-06,0.666666051
1.33E-06,0.717948051
1.40E-06,0.769230051
1.52E-06,0.820512051
1.62E-06,0.871794051
2.32E-06,0.923076051
2.50E-06,0.974358051
3.23E-06,1.025640051
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
