parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0012967573,1,0.25,not_evaluated,,0/0
g0,3.1371106e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,1191.4771,1,0.5,not_evaluated,,0/0
V0_set,0.7554271,1,0.1,not_evaluated,,0/0
V0_res,0.90454404,1,0.1,not_evaluated,,0/0
gamma0_set,22.459502,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.38753438,1,0.666667,not_evaluated,,0/0
Ea_res,0.98513742,1,0.666667,not_evaluated,,0/0
F_min_set,1.1759522e+09,1,0.3,not_evaluated,,0/0
F_min_res,1.2812409e+09,1,0.3,not_evaluated,,0/0
Vel0_set,3.3421434,1,0.5,not_evaluated,,0/0
Vel0_res,0.15139354,1,0.5,not_evaluated,,0/0
gap_max_set,1.6591068e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.6073874e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,9.9507619e-10,1,0.214286,not_evaluated,,0/0
gap_ini_res,9.7237869e-11,1,0.5,not_evaluated,,0/0
