parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0023102938,1,5.11841,not_evaluated,,0/0
g0,2.7905717e-10,1,0.181818,not_evaluated,,0/0
beta,1.25,0,0.4,not_evaluated,,0/0
Rth,2100,0,0.47619,not_evaluated,,0/0
gap_min,1e-10,0,0.5,not_evaluated,,0/0
tox,7e-09,0,0.0714286,not_evaluated,,0/0
Rs,17.845338,1,0.5,not_evaluated,,0/0
V0_set,0.62450366,1,3.52183,not_evaluated,,0/0
V0_res,1.2171296,1,3.52183,not_evaluated,,0/0
gamma0_set,5.9517552,1,0.727273,not_evaluated,,0/0
gamma0_res,16.5,0,0.727273,not_evaluated,,0/0
Ea_set,0.85798718,1,0.666667,not_evaluated,,0/0
Ea_res,0.67933285,1,0.666667,not_evaluated,,0/0
F_min_set,9.1659663e+08,1,0.3,not_evaluated,,0/0
F_min_res,2.0752612e+09,1,0.3,not_evaluated,,0/0
Vel0_set,1.2166579,1,0.5,not_evaluated,,0/0
Vel0_res,12.305311,1,0.5,not_evaluated,,0/0
gap_max_set,1.0991084e-09,1,0.176471,not_evaluated,,0/0
gap_max_res,1.0587374e-09,1,0.176471,not_evaluated,,0/0
gap_ini_set,9.2938942e-10,1,0.214286,not_evaluated,,0/0
gap_ini_res,1.2246586e-10,1,0.5,not_evaluated,,0/0
