File Name,Corresponding Data Point,Maximum Subtraction
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_24_41 PM].csv",1.05,0.00017325999999999995
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_24_47 PM].csv",0.825,0.00013158
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_24_54 PM].csv",0.925,0.00010908
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_00 PM].csv",0.85,0.00016711200000000002
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_06 PM].csv",0.925,0.00028208
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_12 PM].csv",0.85,0.00024742
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_19 PM].csv",0.625,0.00018329
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_25 PM].csv",0.95,0.00010436000000000001
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_31 PM].csv",0.775,0.000219936
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_38 PM].csv",0.825,0.00018272
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_44 PM].csv",0.825,0.000217234
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_50 PM].csv",0.85,0.000243042
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_25_56 PM].csv",0.975,0.0001654
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_03 PM].csv",0.8,0.00019872599999999998
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_09 PM].csv",0.775,0.00019281
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_16 PM].csv",0.625,0.000122782
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_22 PM].csv",0.7,0.000176554
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_29 PM].csv",0.7,0.0001622
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_35 PM].csv",0.75,0.00018954600000000002
"[B6-01-4um-07,SET-RESET,46,9_4_2024 2_26_41 PM].csv",0.925,0.000246406
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_29_44 PM].csv",0.6,0.000173546
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_29_51 PM].csv",0.65,0.0001623
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_29_57 PM].csv",0.6,0.00016806600000000003
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_03 PM].csv",0.575,0.00011249799999999999
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_09 PM].csv",0.6,0.00015183999999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_16 PM].csv",0.575,0.000130172
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_22 PM].csv",0.6,0.00012985999999999998
"[B6-01-4um-09,SET-RESET,48,9_4_2024 2_30_28 PM].csv",0.7,0.00025721999999999995
