parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0029373065,1,149.239,non_identifiable,,1/1
g0,3.0369783e-10,1,4.3391e+08,non_identifiable,,1/1
beta,1.25,0,0.0426444,identifiable,,1/1
Rth,2100,0,1.03946e-05,identifiable,,1/1
gap_min,1e-10,0,1.9154e+11,non_identifiable,,1/1
tox,7e-09,0,1.59785e+07,non_identifiable,,1/1
Rs,796.88404,1,0.00813099,identifiable,,1/1
V0_set,1.7265281,1,0.0288898,identifiable,,1/1
V0_res,1.8587035,1,0.335871,identifiable,,1/1
gamma0_set,21.415638,1,0.00442249,identifiable,,1/1
gamma0_res,7.7539541,0,Inf,non_identifiable,,1/1
Ea_set,0.48371697,1,0.346107,identifiable,,1/1
Ea_res,0.28250545,1,Inf,non_identifiable,,1/1
F_min_set,2.5877497e+09,1,3.85774e-11,identifiable,,1/1
F_min_res,1.244813e+09,1,4.85194e-13,identifiable,,1/1
Vel0_set,0.1252218,1,0.42003,identifiable,,1/1
Vel0_res,16.442877,1,Inf,non_identifiable,,1/1
gap_max_set,1.7878315e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.0368447e-09,1,1.5295e+08,non_identifiable,,1/1
gap_ini_set,1.0099142e-09,1,9.88194e+07,non_identifiable,,1/1
gap_ini_res,1.1790666e-10,1,1.10742e+11,non_identifiable,,1/1
