parameter,value,loss
I0,0.00091030662,26.540043
I0,0.0011323664,26.083009
I0,0.0013544262,25.863991
I0,0.001576486,25.811965
I0,0.0017985458,25.893124
I0,0.0020206056,26.089474
I0,0.0022426655,26.391033
g0,2.1078293e-10,26.768078
g0,2.4411626e-10,26.163562
g0,2.774496e-10,25.881754
g0,3.1078293e-10,25.811965
g0,3.4411626e-10,25.898456
g0,3.774496e-10,26.111534
g0,4.1078293e-10,26.434858
Rs,10,46.21122
Rs,434.02175,39.065565
Rs,858.04349,25.824163
Rs,1252.3036,25.811965
Rs,1706.087,26.07886
Rs,2130.1087,26.537481
Rs,2554.1305,27.170536
V0_set,1.0798346,25.781128
V0_set,1.160784,25.701005
V0_set,1.2417333,25.711483
V0_set,1.3226827,25.811965
V0_set,1.403632,26.002727
V0_set,1.4845814,26.283575
V0_set,1.5655307,26.654371
V0_res,0.90852731,26.408515
V0_res,0.98947666,26.116711
V0_res,1.070426,25.918006
V0_res,1.1513754,25.811965
V0_res,1.2323247,25.798404
V0_res,1.3132741,25.877138
V0_res,1.3942234,26.047874
gamma0_set,4,29.487381
gamma0_set,7.3333333,27.678971
gamma0_set,10.666667,26.246902
gamma0_set,14,25.859754
gamma0_set,17.333333,25.79551
gamma0_set,21.704396,25.811965
gamma0_set,24,25.851774
Ea_set,0.1,26.022144
Ea_set,0.24833333,25.885419
Ea_set,0.39666667,25.830562
Ea_set,0.47702824,25.811965
Ea_set,0.69333333,25.869978
Ea_set,0.84166667,26.15121
Ea_set,0.99,26.78689
Ea_res,0.1,46.20523
Ea_res,0.24833333,46.126274
Ea_res,0.39666667,46.07482
Ea_res,0.545,43.920211
Ea_res,0.69333333,35.342546
Ea_res,0.87655579,25.811965
Ea_res,0.99,25.859226
F_min_set,5e+08,26.275942
F_min_set,7.7071418e+08,26.041625
F_min_set,1.0414284e+09,25.891254
F_min_set,1.2842851e+09,25.811965
F_min_set,1.5828567e+09,25.81215
F_min_set,1.8535709e+09,25.939489
F_min_set,2.1242851e+09,26.180535
F_min_res,7.2422243e+08,26.055563
F_min_res,1.0042224e+09,25.885475
F_min_res,1.2842224e+09,25.804275
F_min_res,1.5642224e+09,25.811965
F_min_res,1.8442224e+09,25.908544
F_min_res,2.1242224e+09,26.094011
F_min_res,2.4042224e+09,26.368367
Vel0_set,0.67255173,25.811965
Vel0_set,1.862092,25.731066
Vel0_set,3.6241839,25.628822
Vel0_set,5.3862759,25.551498
Vel0_set,7.1483678,25.498561
Vel0_set,8.9104598,25.470836
Vel0_set,10.672552,25.467963
Vel0_res,0.19289438,25.811965
Vel0_res,1.7821491,25.69738
Vel0_res,3.4642981,25.598109
Vel0_res,5.1464472,25.521476
Vel0_res,6.8285963,25.467479
Vel0_res,8.5107453,25.436119
Vel0_res,10.192894,25.427397
gap_max_set,1.0243662e-09,26.286469
gap_max_set,1.2243662e-09,26.056973
gap_max_set,1.4243662e-09,25.890024
gap_max_set,1.6243662e-09,25.811965
gap_max_set,1.8243662e-09,25.822794
gap_max_set,2.0243662e-09,25.922513
gap_max_set,2.2243662e-09,26.11112
gap_max_res,1.0637421e-09,26.260309
gap_max_res,1.2637421e-09,26.021972
gap_max_res,1.4637421e-09,25.872524
gap_max_res,1.6637421e-09,25.811965
gap_max_res,1.8637421e-09,25.840295
gap_max_res,2.0637421e-09,25.957514
gap_max_res,2.2637421e-09,26.163621
gap_ini_set,5e-10,26.794177
gap_ini_set,6.9668088e-10,26.270502
gap_ini_set,8.9336176e-10,25.938094
gap_ini_set,1.0800853e-09,25.811965
gap_ini_set,1.2867235e-09,25.912537
gap_ini_set,1.4834044e-09,26.276274
gap_ini_set,1.6800853e-09,26.706328
gap_ini_res,5e-11,25.876908
gap_ini_res,7.03956e-11,25.811965
gap_ini_res,9.0131867e-11,25.780803
gap_ini_res,1.101978e-10,25.785633
gap_ini_res,1.3026373e-10,25.830291
gap_ini_res,1.5032967e-10,25.91117
gap_ini_res,1.703956e-10,26.028635
