parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.001576486,1,2.3473e+06,non_identifiable,flat_non_identifiable,0/0
g0,3.1078293e-10,1,3.4514e+13,non_identifiable,flat_non_identifiable,0/0
beta,1.25,0,6439.66,non_identifiable,,0/0
Rth,2100,0,14.7348,non_identifiable,,0/0
gap_min,1e-10,0,6.82421e+13,non_identifiable,,0/0
tox,7e-09,0,4.26046e+11,non_identifiable,,0/0
Rs,1252.3036,1,0.0071953,identifiable,weakly_identifiable,0/0
V0_set,1.3226827,1,11.1258,non_identifiable,flat_non_identifiable,0/0
V0_res,1.1513754,1,14.0122,non_identifiable,flat_non_identifiable,0/0
gamma0_set,21.704396,1,199.886,non_identifiable,flat_non_identifiable,0/0
gamma0_res,16.5,0,Inf,non_identifiable,,0/0
Ea_set,0.47702824,1,1854.88,non_identifiable,flat_non_identifiable,0/0
Ea_res,0.87655579,1,Inf,non_identifiable,flat_non_identifiable,0/0
F_min_set,1.2842851e+09,1,3.302e-06,identifiable,flat_non_identifiable,0/0
F_min_res,1.5642224e+09,1,Inf,non_identifiable,flat_non_identifiable,0/0
Vel0_set,0.67255173,1,45460.9,non_identifiable,flat_non_identifiable,0/0
Vel0_res,0.19289438,1,Inf,non_identifiable,flat_non_identifiable,0/0
gap_max_set,1.6243662e-09,1,Inf,non_identifiable,flat_non_identifiable,0/0
gap_max_res,1.6637421e-09,1,Inf,non_identifiable,flat_non_identifiable,0/0
gap_ini_set,1.0800853e-09,1,9.14641e+12,non_identifiable,flat_non_identifiable,0/0
gap_ini_res,7.03956e-11,1,Inf,non_identifiable,flat_non_identifiable,0/0
