parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0062923426,1,3.70944,not_evaluated,,1/1
g0,3.7988508e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,1081.6527,1,0.5,not_evaluated,,1/1
V0_set,0.69846987,1,2.55195,not_evaluated,,1/1
V0_res,1.6455978,1,2.55195,not_evaluated,,1/1
gamma0_set,18.018495,1,0.4,not_evaluated,,1/1
gamma0_res,13.403793,0,0.4,not_evaluated,,1/1
Ea_set,0.14613184,1,0.936333,not_evaluated,,1/1
Ea_res,0.32853501,1,0.989417,not_evaluated,,1/1
F_min_set,9.6676468e+08,1,0.3,not_evaluated,,1/1
F_min_res,5.7509571e+08,1,0.3,not_evaluated,,1/1
Vel0_set,0.16438007,1,0.5,not_evaluated,,1/1
Vel0_res,3.6643241,1,0.5,not_evaluated,,1/1
gap_max_set,2.1825546e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.851812e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.9845999e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.543889e-10,1,0.5,not_evaluated,,1/1
