parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0065618441,1,2.63874,not_evaluated,,1/1
g0,2.3623858e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,167.50036,1,0.5,not_evaluated,,1/1
V0_set,1.4946003,1,1.81475,not_evaluated,,1/1
V0_res,1.8404803,1,1.81475,not_evaluated,,1/1
gamma0_set,6.8283264,1,0.4,not_evaluated,,1/1
gamma0_res,9.1418452,0,0.4,not_evaluated,,1/1
Ea_set,0.15957716,1,1.06312,not_evaluated,,1/1
Ea_res,0.56766416,1,1.03018,not_evaluated,,1/1
F_min_set,7.3919773e+08,1,0.3,not_evaluated,,1/1
F_min_res,1.1976215e+09,1,0.3,not_evaluated,,1/1
Vel0_set,0.50026694,1,0.5,not_evaluated,,1/1
Vel0_res,0.79640809,1,0.5,not_evaluated,,1/1
gap_max_set,1.8811881e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.1300272e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.1578724e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,1.0013882e-10,1,0.5,not_evaluated,,1/1
