condition,parameter,theta_point,bs_median,ci_lo,ci_hi,refined_inside_ci
S1,I0,0.0014935889858729424,0.003483904151823817,0.0005972060894176622,0.009026510489874628,True
S1,g0,3.1135193840993617e-10,3.607495469747421e-10,1.6100511479637993e-10,4.957306510298689e-10,True
S1,Rs,1750.4535982832708,203.24844609636762,10.083776933483554,2798.100269013332,True
S1,V0_set,1.320168905243704,1.0726907982698146,0.5100061999475872,1.7017260504983671,True
S1,V0_res,1.1520634954409084,1.056159418220915,0.3981563515267246,1.728749293386406,True
S1,gamma0_set,21.496767223640077,17.37960849365328,5.65181980788013,23.879988106558347,True
S1,Ea_set,0.47886962729309585,0.36199687983119255,0.10379664249405486,0.9351371682193276,True
S1,Ea_res,0.8785622588955214,0.6827428127723355,0.13485167703681164,0.9730676320919599,True
S1,F_min_set,1423192987.617624,1104045201.4375753,508364108.15205294,2805420537.2732344,True
S1,F_min_res,1396717124.1558247,1541641228.9127083,512016895.6461426,2976828847.519809,True
S1,Vel0_set,0.6774729450932617,1.41336677140459,0.11436818759743186,18.539265211907423,True
S1,Vel0_res,0.18820087580481465,1.1430627111921994,0.10370032272452133,18.18822256119547,True
S1,gap_max_set,1.7148807313366529e-09,1.7244407847729104e-09,1.01722105544209e-09,2.4977641926659056e-09,True
S1,gap_max_res,1.6074307748423581e-09,1.6923516950264754e-09,1.0273894836903696e-09,2.5401647813563825e-09,True
S1,gap_ini_set,1.100160837097199e-09,1.242158934486154e-09,5.25104485821117e-10,2.199533853565647e-09,True
S1,gap_ini_res,9.458764882153591e-11,1.3805330637831616e-10,5.275354760680729e-11,2.416619900709734e-10,True
S2,I0,0.004841546715764737,0.004550661391158481,0.0008305267327865549,0.008893192462612439,True
S2,g0,3.3882739960578305e-10,3.9263166902765866e-10,1.6211540931735284e-10,4.987289413417565e-10,True
S2,Rs,304.7099051509726,596.7469668308288,10.121664914602771,2334.8855958502354,True
S2,V0_set,0.9997039910913368,0.6268176903686512,0.42541381613089335,0.9581195447915567,False
S2,V0_res,1.1446464527761078,0.6114109136068131,0.40701931895484594,0.986771021754705,False
S2,gamma0_set,15.364502452959853,16.0638567440962,4.690708362775948,23.676641564939512,True
S2,Ea_set,0.9140168877635035,0.44054498427815786,0.11124739976903364,0.9364772643172729,True
S2,Ea_res,0.9002825778295399,0.6181651150911059,0.12230277566857664,0.9830854733904066,True
S2,F_min_set,933132363.6608609,967083790.2147597,524343305.9950295,2918520506.715665,True
S2,F_min_res,1145103001.751163,2202989738.900854,505521810.4063907,2979511354.7420816,True
S2,Vel0_set,9.459746277937727,1.579943978926134,0.11659552823728242,17.62052036739756,True
S2,Vel0_res,0.1813866002881097,1.6920137907546675,0.11250453809907644,18.71508536727574,True
S2,gap_max_set,1.5424968806868254e-09,1.7963601691455707e-09,1.0400640157582734e-09,2.557040971792623e-09,True
S2,gap_max_res,1.4902969377544382e-09,1.6450894539640234e-09,1.0288317622491126e-09,2.562622001625499e-09,True
S2,gap_ini_set,7.4280218718149e-10,1.1769625018355287e-09,5.374639211834063e-10,2.2489779599657136e-09,True
S2,gap_ini_res,8.476943239016329e-11,1.4223073647173252e-10,5.3323249460283215e-11,2.4256216666531544e-10,True
S3,I0,0.000709155260358221,0.0052674387055263025,0.0010764677651135138,0.00943866741946216,False
S3,g0,3.2092874445965516e-10,3.5500643535966623e-10,2.1509709776090988e-10,4.984746222959736e-10,True
S3,Rs,38.93147797299472,43.32286993353878,10.03229292082459,1463.883197646685,True
S3,V0_set,1.0215600269590115,1.5165859478597823,0.12093447375804196,1.959895677907109,True
S3,V0_res,0.3832015792346739,1.4686879116309566,0.3590285410534312,1.969050754740716,True
S3,gamma0_set,12.76387296546009,17.407686077400758,5.073353310219504,23.936099935111837,True
S3,Ea_set,0.779891742871125,0.39150040176299317,0.10816776980842428,0.9388257250320758,True
S3,Ea_res,0.6276358595583094,0.6128391892997139,0.1261968100193836,0.9733308884849868,True
S3,F_min_set,1182019825.9107795,1135556778.7286391,514621192.0927621,2829096903.346454,True
S3,F_min_res,1244967279.753162,1739524239.9281359,533982068.47799885,2979150248.5086336,True
S3,Vel0_set,6.989666254040934,1.9189452232662227,0.11611911792027439,17.791170098289157,True
S3,Vel0_res,0.34763509384159796,1.3349528178932921,0.10938234630580138,18.015652511426886,True
S3,gap_max_set,1.3948352015971607e-09,1.7147337630897817e-09,1.0421495223317304e-09,2.5512565106605456e-09,True
S3,gap_max_res,1.8438501432966748e-09,1.742074465431477e-09,1.0685592875307288e-09,2.576070051740778e-09,True
S3,gap_ini_set,1.0530834037652909e-09,1.2367807485741215e-09,5.630325331256421e-10,2.210275578430484e-09,True
S3,gap_ini_res,7.241448495605357e-11,1.5010327392391856e-10,5.263135348570985e-11,2.4414153453491916e-10,True
S4,I0,0.0010883703406700728,0.005850717407978098,6.712631367453274e-05,0.009724412553236236,True
S4,g0,2.073042210387464e-10,3.490554141196824e-10,1.9770529178980834e-10,4.928095706737338e-10,True
S4,Rs,10.562143955928061,37.72724140540875,10.079289765099954,2529.5398007960152,True
S4,V0_set,1.942782900969341,1.1650163016990691,0.06885249512189992,1.9813253281666594,True
S4,V0_res,0.32174644357115195,1.1372167671765308,0.08109840646323187,1.982526270755182,True
S4,gamma0_set,7.38802603329385,15.38635524291782,4.566068433236352,23.705551574064817,True
S4,Ea_set,0.24394665544862978,0.5290270740799261,0.11311132152100953,0.957950145676587,True
S4,Ea_res,0.9729280275241732,0.5893772994643087,0.11291745267172416,0.977151511596632,True
S4,F_min_set,902226826.7890701,1084846565.6822572,509071249.1474837,2851511731.577619,True
S4,F_min_res,2053995490.1864815,1469170597.196468,505054518.54530907,2980885841.849842,True
S4,Vel0_set,5.813793623009179,1.5684701743941052,0.11096680106130485,17.368024053682245,True
S4,Vel0_res,7.722831925642382,1.935541383812164,0.11444435698944574,17.40959597841778,True
S4,gap_max_set,1.4606864455188404e-09,1.809821607991479e-09,1.0481248871628025e-09,2.518938282962974e-09,True
S4,gap_max_res,1.2315359751641714e-09,1.6538977792536834e-09,1.0329841760199403e-09,2.5471492055877436e-09,True
S4,gap_ini_set,9.30714692090807e-10,1.1104993536143852e-09,5.216305652970996e-10,2.196873250797329e-09,True
S4,gap_ini_res,1.2384826289110367e-10,1.5062586082775487e-10,5.518384558359256e-11,2.439222641255948e-10,True
S5,I0,0.0012967573488848318,0.001902457032039498,0.00019293225671824916,0.007865944892532062,True
S5,g0,3.137110644780978e-10,3.7724933393211324e-10,1.9692731716733428e-10,4.972731110612963e-10,True
S5,Rs,1191.4770606887153,65.52495198828457,10.14437998676912,2476.4974364154687,True
S5,V0_set,0.7554271032052494,0.5515449386969247,0.3614484135480441,0.9582290295064329,True
S5,V0_res,0.9045440448581786,0.477298376385472,0.325027701416027,0.865816212776796,False
S5,gamma0_set,22.459501793740248,16.511984088137183,4.602295225356269,23.727475040669994,True
S5,Ea_set,0.38753438340283786,0.3240915630868816,0.10344836038919669,0.9708285107676022,True
S5,Ea_res,0.9851374207202684,0.6169760017906106,0.10462176153074934,0.9741559325798954,False
S5,F_min_set,1175952245.9464564,1101136176.7811475,512070405.0958352,2790881987.8885713,True
S5,F_min_res,1281240878.0125797,1293308085.0094523,542466745.0830443,2955285611.38586,True
S5,Vel0_set,3.342143419672667,1.8561825400365968,0.11273161138431641,18.850924779795807,True
S5,Vel0_res,0.15139353514373116,1.1479813186563668,0.10721368661797485,18.519341738390263,True
S5,gap_max_set,1.6591067878712952e-09,1.745637884938664e-09,1.037058875447925e-09,2.5013112850693642e-09,True
S5,gap_max_res,1.607387441926705e-09,1.5596589914724435e-09,1.0320617298061218e-09,2.546518914468669e-09,True
S5,gap_ini_set,9.95076188451886e-10,1.2323191756031074e-09,5.399327170902292e-10,2.2516028227352163e-09,True
S5,gap_ini_res,9.723786934094261e-11,1.4322185886503196e-10,5.31790301099017e-11,2.4180278478741953e-10,True
S6,I0,0.0007480282448545412,0.0010527250616658205,0.00017966521267182294,0.0051328241784041806,True
S6,g0,3.839458942808774e-10,3.8117477056980583e-10,1.7630454724018243e-10,4.981670320764727e-10,True
S6,Rs,1030.2999582394773,407.3113933169388,11.077731584443432,9783.8194186606,True
S6,V0_set,0.8500841960503858,0.8462194004299258,0.5581599655709468,1.3618388406984872,True
S6,V0_res,0.9888421678231138,0.8853954291829966,0.6007724957945091,1.415999698656055,True
S6,gamma0_set,13.165924917348564,16.686411398813988,4.753921847452249,23.807037431703602,True
S6,Ea_set,0.23817056972178488,0.26301548269155095,0.10094310244704717,0.8942159673737761,True
S6,Ea_res,0.6615623601330575,0.5287703884740693,0.12611485294579416,0.9713284477711998,True
