response,term,coef,se,p_value,model_R2,lack_of_fit_F,lack_of_fit_p
V0_set,intercept,0.8428675989080928,0.08139254443959659,4.744046126389015e-05,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_set,O2,0.21279470377556428,0.0727997048914442,0.02652697475262891,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_set,Power,-0.18454351276986983,0.07279970489144422,0.04438231077535799,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_set,O2:Power,0.023575865435112697,0.08916106520461747,0.800305534604195,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_set,O2^2,0.00933814934697133,0.10919955733716631,0.9346344938434608,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_set,Power^2,0.16641014694844702,0.10919955733716631,0.178367650001055,0.7474583082311483,4.569719921009709,0.12195467094828492
V0_res,intercept,0.9195792201045739,0.10380096054606194,0.00011505771739633658,0.610654708359485,6.4000451000691,0.08082690683941667
V0_res,O2,0.22440523329621398,0.09284240156430727,0.05207135337606483,0.610654708359485,6.4000451000691,0.08082690683941667
V0_res,Power,-0.16624146062628709,0.09284240156430729,0.12355414727765501,0.610654708359485,6.4000451000691,0.08082690683941667
V0_res,O2:Power,0.028319340039918844,0.11370825516356378,0.8116264266673744,0.610654708359485,6.4000451000691,0.08082690683941667
V0_res,O2^2,-0.030928235043467964,0.13926360234646093,0.8316146793682344,0.610654708359485,6.4000451000691,0.08082690683941667
V0_res,Power^2,0.07606572645926285,0.13926360234646093,0.604628267542004,0.610654708359485,6.4000451000691,0.08082690683941667
log10(Rs),intercept,2.341736386111873,0.2442666391711101,7.363888921395774e-05,0.24359640746590838,1.7215882956311304,0.333208776822773
log10(Rs),O2,-0.1794875562336889,0.21847872392880605,0.44275491046666593,0.24359640746590838,1.7215882956311304,0.333208776822773
log10(Rs),Power,0.15138753445267564,0.21847872392880607,0.5142738452470474,0.24359640746590838,1.7215882956311304,0.333208776822773
log10(Rs),O2:Power,-0.1319562885339389,0.2675806966399841,0.6394368414554565,0.24359640746590838,1.7215882956311304,0.333208776822773
log10(Rs),O2^2,-0.22977382119861675,0.3277180858932091,0.509485003657732,0.24359640746590838,1.7215882956311304,0.333208776822773
log10(Rs),Power^2,0.012936901072260344,0.3277180858932091,0.9697918641604335,0.24359640746590838,1.7215882956311304,0.333208776822773
