condition,n_active,numerical_rank,rank_deficiency,log10_resolvable_range
S1,16,10,6,10.978631446751645
S2,16,11,5,13.217141779197535
S3,16,14,2,11.055751007406379
S4,16,13,3,13.986301019471437
S5,16,6,10,11.470000964912959
S6,16,9,7,11.787144409891692
S7,16,7,9,11.824009300864388
S8,16,8,8,7.383451966328457
S9,16,10,6,12.572930420452346
S10,16,9,7,12.474817809808178
S11,16,8,8,8.279852548518388
S12,16,12,4,7.212250565534265
