folder,device_id,cycle_count,cycle_delta_from_20,total_blocks,set_blocks,reset_blocks,first_record_time,last_record_time,first_file,last_file,measurement_ids,total_devices_in_folder,total_cycles_in_folder
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-1-4um-01,20,0,60,20,40,2024-07-19 17:19:08,2024-07-19 17:21:09,"[C2-1-4um-01,SET-RESET,38,7_19_2024 5_19_08 PM].csv","[C2-1-4um-01,SET-RESET,38,7_19_2024 5_21_09 PM].csv",38,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-1-4um-02,20,0,60,20,40,2024-07-19 17:32:46,2024-07-19 17:34:45,"[C2-1-4um-02,SET-RESET,39,7_19_2024 5_32_46 PM].csv","[C2-1-4um-02,SET-RESET,39,7_19_2024 5_34_45 PM].csv",39,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-1-4um-03,20,0,60,20,40,2024-07-19 17:36:28,2024-07-19 17:38:28,"[C2-1-4um-03,SET-RESET,40,7_19_2024 5_36_28 PM].csv","[C2-1-4um-03,SET-RESET,40,7_19_2024 5_38_28 PM].csv",40,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-1-4um-04,6,-14,18,6,12,2024-07-19 17:41:00,2024-07-19 17:41:31,"[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_00 PM].csv","[C2-1-4um-04,SET-RESET,41,7_19_2024 5_41_31 PM].csv",41,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-1-4um-06,20,0,60,20,40,2024-07-19 17:46:21,2024-07-19 17:48:21,"[C2-1-4um-06,SET-RESET,43,7_19_2024 5_46_21 PM].csv","[C2-1-4um-06,SET-RESET,43,7_19_2024 5_48_21 PM].csv",43,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-01,20,0,60,20,40,2024-07-19 16:29:11,2024-07-19 16:31:12,"[C2-2-4um-01,SET-RESET,27,7_19_2024 4_29_11 PM].csv","[C2-2-4um-01,SET-RESET,27,7_19_2024 4_31_12 PM].csv",27,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-02,20,0,60,20,40,2024-07-19 16:32:49,2024-07-19 16:34:51,"[C2-2-4um-02,SET-RESET,28,7_19_2024 4_32_49 PM].csv","[C2-2-4um-02,SET-RESET,28,7_19_2024 4_34_51 PM].csv",28,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-03,20,0,60,20,40,2024-07-19 16:36:24,2024-07-19 16:38:27,"[C2-2-4um-03,SET-RESET,29,7_19_2024 4_36_24 PM].csv","[C2-2-4um-03,SET-RESET,29,7_19_2024 4_38_27 PM].csv",29,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-04,20,0,60,20,40,2024-07-19 16:39:46,2024-07-19 16:41:46,"[C2-2-4um-04,SET-RESET,30,7_19_2024 4_39_46 PM].csv","[C2-2-4um-04,SET-RESET,30,7_19_2024 4_41_46 PM].csv",30,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-05,20,0,60,20,40,2024-07-19 16:43:06,2024-07-19 16:45:10,"[C2-2-4um-05,SET-RESET,31,7_19_2024 4_43_06 PM].csv","[C2-2-4um-05,SET-RESET,31,7_19_2024 4_45_10 PM].csv",31,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-06,20,0,60,20,40,2024-07-19 16:47:23,2024-07-19 16:49:23,"[C2-2-4um-06,SET-RESET,32,7_19_2024 4_47_23 PM].csv","[C2-2-4um-06,SET-RESET,32,7_19_2024 4_49_23 PM].csv",32,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-07,20,0,60,20,40,2024-07-19 16:50:44,2024-07-19 16:52:48,"[C2-2-4um-07,SET-RESET,33,7_19_2024 4_50_44 PM].csv","[C2-2-4um-07,SET-RESET,33,7_19_2024 4_52_48 PM].csv",33,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-08,20,0,60,20,40,2024-07-19 16:54:51,2024-07-19 16:56:54,"[C2-2-4um-08,SET-RESET,34,7_19_2024 4_54_51 PM].csv","[C2-2-4um-08,SET-RESET,34,7_19_2024 4_56_54 PM].csv",34,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-10,20,0,60,20,40,2024-07-19 17:00:16,2024-07-19 17:02:16,"[C2-2-4um-10,SET-RESET,35,7_19_2024 5_00_16 PM].csv","[C2-2-4um-10,SET-RESET,35,7_19_2024 5_02_16 PM].csv",35,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C2-2-4um-11,20,0,60,20,40,2024-07-19 17:04:28,2024-07-19 17:06:30,"[C2-2-4um-11,SET-RESET,36,7_19_2024 5_04_28 PM].csv","[C2-2-4um-11,SET-RESET,36,7_19_2024 5_06_30 PM].csv",36,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C3-1-4um-01,100,80,300,100,200,2024-07-19 13:10:23,2024-07-19 13:20:50,"[C3-1-4um-01,SET-RESET,1,7_19_2024 1_10_23 PM].csv","[C3-1-4um-01,SET-RESET,1,7_19_2024 1_20_50 PM].csv",1,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C3-1-4um-02,18,-2,54,18,36,2024-07-19 13:24:19,2024-07-19 13:29:29,"[C3-1-4um-02,SET-RESET,1,7_19_2024 1_24_19 PM].csv","[C3-1-4um-02,SET-RESET,4,7_19_2024 1_29_29 PM].csv",1;2;3;4;5,45,1153
/home/hm5701/Documents/PINN/Variability_Project/raw_data/S2,C3-1-4um-03,63,43,189,63,126,2024-07-19 13:31:23,2024-07-19 13:41:55,"[C3-1-4um-03,SET-RESET,1,7_19_2024 1_31_23 PM].csv","[C3-1-4um-03,SET-RESET,3,7_19_2024 1_41_55 PM].csv",1;2;3;4;5;6;7;8,45,1153
