parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0071522669,1,Inf,not_evaluated,,1/1
g0,4.196891e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,97.071677,1,Inf,not_evaluated,,1/1
V0_set,0.91654335,1,Inf,not_evaluated,,1/1
V0_res,1.0742457,1,Inf,not_evaluated,,1/1
gamma0_set,12.990035,1,Inf,not_evaluated,,1/1
gamma0_res,7.6057891,0,Inf,not_evaluated,,1/1
Ea_set,0.86606789,1,Inf,not_evaluated,,1/1
Ea_res,0.97546964,1,Inf,not_evaluated,,1/1
F_min_set,2.2774959e+09,1,Inf,not_evaluated,,1/1
F_min_res,2.0655367e+09,1,Inf,not_evaluated,,1/1
Vel0_set,0.22092419,1,Inf,not_evaluated,,1/1
Vel0_res,0.53412481,1,Inf,not_evaluated,,1/1
gap_max_set,5.0985025e-09,1,Inf,not_evaluated,,1/1
gap_max_res,2.0655025e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,1.6011988e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,4.8158457e-10,1,Inf,not_evaluated,,1/1
