parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.00069264124,1,0.25,not_evaluated,,1/1
g0,3.7866085e-10,1,0.181818,not_evaluated,,1/1
beta,1.25,0,0.4,not_evaluated,,1/1
Rth,2100,0,0.47619,not_evaluated,,1/1
gap_min,1e-10,0,0.5,not_evaluated,,1/1
tox,7e-09,0,0.0714286,not_evaluated,,1/1
Rs,466.96382,1,0.5,not_evaluated,,1/1
V0_set,0.94989781,1,0.1,not_evaluated,,1/1
V0_res,0.8218735,1,0.1,not_evaluated,,1/1
gamma0_set,8.7817068,1,0.4,not_evaluated,,1/1
gamma0_res,6.086786,0,0.4,not_evaluated,,1/1
Ea_set,0.40120785,1,1.27972,not_evaluated,,1/1
Ea_res,0.13207976,1,1.07054,not_evaluated,,1/1
F_min_set,1.2801521e+09,1,0.3,not_evaluated,,1/1
F_min_res,2.3661398e+09,1,0.3,not_evaluated,,1/1
Vel0_set,12.170507,1,0.5,not_evaluated,,1/1
Vel0_res,5.216005,1,0.5,not_evaluated,,1/1
gap_max_set,1.5118207e-09,1,0.176471,not_evaluated,,1/1
gap_max_res,1.002711e-09,1,0.176471,not_evaluated,,1/1
gap_ini_set,1.1087928e-09,1,0.214286,not_evaluated,,1/1
gap_ini_res,7.6632078e-11,1,0.5,not_evaluated,,1/1
