condition,device_id,total_cycles,good_cycles
S12,A8-02-4um-03,20,20
S12,A8-02-4um-04,20,20
S12,A8-02-4um-05,20,20
S12,A8-02-4um-06,20,20
S12,A8-02-4um-07,20,20
S12,A8-02-4um-08,20,20
S12,A8-02-4um-09,20,20
S12,A8-02-4um-10,19,19
S12,A8-02-4um-11,20,20
S12,A8-02-4um-12,20,20
S12,C3-02-4um-01,5,5
S12,C3-02-4um-02,20,20
S12,C3-02-4um-03,20,20
S12,C3-02-4um-04,20,20
S12,C3-02-4um-05,20,20
S12,C3-02-4um-06,20,20
S12,C3-02-4um-07,20,20
S12,C3-02-4um-08,20,20
S12,C3-02-4um-09,3,3
S12,C3-02-4um-10,9,9
S12,C3-02-4um-11,20,20
S12,C3-02-4um-12,20,20
S12,C3-04-4um-01,20,20
S12,C3-04-4um-03,20,20
S12,C3-04-4um-04,20,20
S12,C3-04-4um-05,31,31
S12,C3-04-4um-06,20,20
S12,C3-04-4um-07,20,20
S12,C3-04-4um-08,20,20
S12,C3-04-4um-09,20,20
S12,C3-04-4um-10,20,20
S12,C3-04-4um-11,20,20
S12,C3-04-4um-12,40,40
S12,D1-03-4um-01,20,20
S12,D1-03-4um-02,20,20
S12,D1-03-4um-03,20,20
S12,D1-03-4um-04,20,20
S12,D1-03-4um-05,20,20
S12,S12-01-4um-01,20,20
S12,S12-01-4um-02,20,20
S12,S12-01-4um-03,20,20
S12,S12-01-4um-04,20,20
S12,S12-01-4um-05,20,20
S12,S12-01-4um-06,20,20
S12,S12-01-4um-07,20,20
S12,S12-01-4um-08,20,20
S12,S12-01-4um-09,20,20
S12,S12-01-4um-10,20,20
S12,S12-01-4um-11,20,20
S12,S12-01-4um-12,20,20
