parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.0022554872,1,Inf,not_evaluated,,1/1
g0,4.5278345e-10,1,Inf,not_evaluated,,1/1
beta,1.25,0,Inf,not_evaluated,,1/1
Rth,2100,0,Inf,not_evaluated,,1/1
gap_min,1e-10,0,Inf,not_evaluated,,1/1
tox,7e-09,0,Inf,not_evaluated,,1/1
Rs,135.2784,1,Inf,not_evaluated,,1/1
V0_set,1.0644678,1,Inf,not_evaluated,,1/1
V0_res,0.8095436,1,Inf,not_evaluated,,1/1
gamma0_set,22.107335,1,Inf,not_evaluated,,1/1
gamma0_res,6.086786,0,Inf,not_evaluated,,1/1
Ea_set,0.19012596,1,Inf,not_evaluated,,1/1
Ea_res,0.95260993,1,Inf,not_evaluated,,1/1
F_min_set,1.3227358e+09,1,Inf,not_evaluated,,1/1
F_min_res,6.869961e+08,1,Inf,not_evaluated,,1/1
Vel0_set,1.1068119,1,Inf,not_evaluated,,1/1
Vel0_res,19.231077,1,Inf,not_evaluated,,1/1
gap_max_set,7.3932152e-09,1,Inf,not_evaluated,,1/1
gap_max_res,3.2434099e-09,1,Inf,not_evaluated,,1/1
gap_ini_set,2.1685171e-09,1,Inf,not_evaluated,,1/1
gap_ini_res,3.7834588e-10,1,Inf,not_evaluated,,1/1
