parameter,theta,active,fisher_rel_sigma,class,profile_verdict,pf_prior_available
I0,0.001618418,1,3.19647e+06,non_identifiable,,1/1
g0,3.5509741e-10,1,1.35194e+13,non_identifiable,,1/1
beta,1.25,0,Inf,non_identifiable,,1/1
Rth,2100,0,Inf,non_identifiable,,1/1
gap_min,1e-10,0,1.89322e+14,non_identifiable,,1/1
tox,7e-09,0,Inf,non_identifiable,,1/1
Rs,368.47477,1,0.00710121,identifiable,,1/1
V0_set,1.1347744,1,0.312707,identifiable,,1/1
V0_res,0.72477467,1,0.388141,identifiable,,1/1
gamma0_set,7.605569,1,Inf,non_identifiable,,1/1
gamma0_res,10.517014,0,Inf,non_identifiable,,1/1
Ea_set,0.10642801,1,Inf,non_identifiable,,1/1
Ea_res,0.87045298,1,Inf,non_identifiable,,1/1
F_min_set,1.1614702e+09,1,Inf,non_identifiable,,1/1
F_min_res,1.2173888e+09,1,Inf,non_identifiable,,1/1
Vel0_set,0.21109743,1,Inf,non_identifiable,,1/1
Vel0_res,6.4752255,1,Inf,non_identifiable,,1/1
gap_max_set,1.7416993e-09,1,Inf,non_identifiable,,1/1
gap_max_res,1.1712346e-09,1,4.29685e+12,non_identifiable,,1/1
gap_ini_set,9.0939595e-10,1,5.70285e+12,non_identifiable,,1/1
gap_ini_res,7.2872354e-11,1,Inf,non_identifiable,,1/1
